Date,Time,Host,Result,Guest,Audience,MVP
07.03.2018,18:00,Jastrzębski Węgiel,"3:1 (25:20, 18:25, 25:16, 25:22)",Czarni Radom,1311,Salvador Hidalgo Oliva
07.03.2018,18:00,BBTS Bielsko-Biała,"1:3 (18:25, 20:25, 25:20, 21:25)",MKS Będzin,500,Marcin Waliński
07.03.2018,18:30,ZAKSA Kędzierzyn-Koźle,"1:3 (20:25, 19:25, 26:24, 23:25)",GKS Katowice,1100,Marcin Komenda
07.03.2018,20:30,Trefl Gdańsk,"3:2 (17:25, 21:25, 25:22, 25:17, 16:14)",Indykpol AZS Olsztyn,2700,Michał Kozłowski
28.03.2018,20:30,Onico Warszawa,"1:3 (19:25, 21:25, 25:21, 16:25)",PGE Skra Bełchatów,4530,Mariusz Wlazły
09.03.2018,18:00,GKS Katowice,"0:3 (20:25, 23:25, 18:25)",PGE Skra Bełchatów,3100,Grzegorz Łomacz
10.03.2018,15:00,Łuczniczka Bydgoszcz,"1:3 (13:25, 22:25, 25:20, 21:25)",Jastrzębski Węgiel,1510,Maciej Muzaj
10.03.2018,17:00,Czarni Radom,"3:0 (25:18, 25:22, 25:20)",Asseco Resovia Rzeszów,1500,Tomasz Fornal
10.03.2018,18:00,MKS Będzin,"1:3 (23:25, 26:24, 17:25, 24:26)",ZAKSA Kędzierzyn-Koźle,1476,Łukasz Wiśniewski
11.03.2018,15:00,Trefl Gdańsk,"3:0 (25:18, 25:19, 25:21)",Dafi Społem Kielce,2250,Damian Schulz
11.03.2018,17:00,Espadon Szczecin,"2:3 (22:25, 25:20, 19:25, 25:20, 13:15)",BBTS Bielsko-Biała,785,Wiaczesław Tarasow
11.03.2018,20:00,Cuprum Lubin,"1:3 (25:23, 21:25, 20:25, 18:25)",Indykpol AZS Olsztyn,1290,Tomas Rousseaux
12.03.2018,18:00,Onico Warszawa,"3:2 (25:14, 23:25, 28:30, 25:23, 15:8)",Aluron Virtu Warta Zawiercie,2030,Jan Nowakowski
16.03.2018,18:00,Trefl Gdańsk,"3:0 (25:18, 27:25, 25:18)",Cuprum Lubin,9781,Artur Szalpuk
17.03.2018,14:45,Asseco Resovia Rzeszów,"3:0 (25:22, 25:20, 26:24)",Łuczniczka Bydgoszcz,2874,Aleksander Śliwka
17.03.2018,14:45,Jastrzębski Węgiel,"3:1 (25:18, 25:21, 19:25, 25:23)",Onico Warszawa,1769,Jason De Rocco
17.03.2018,15:00,PGE Skra Bełchatów,"3:0 (25:20, 25:12, 25:20)",MKS Będzin,2122,Karol Kłos
17.03.2018,17:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:15, 25:10, 25:18)",Espadon Szczecin,1300,Krzysztof Rejno
17.03.2018,17:00,BBTS Bielsko-Biała,"3:1 (25:21, 25:20, 18:25, 25:19)",Dafi Społem Kielce,500,Piotr Łukasik
18.03.2018,14:45,Indykpol AZS Olsztyn,"3:0 (27:25, 25:22, 25:20)",Czarni Radom,2100,Jan Hadrava
19.03.2018,18:00,Aluron Virtu Warta Zawiercie,"3:0 (25:15, 25:21, 25:21)",GKS Katowice,1500,Grzegorz Bociek
23.03.2018,18:00,Czarni Radom,"3:1 (25:20, 25:20, 18:25, 25:19)",Cuprum Lubin,1400,Tomasz Fornal
24.03.2018,14:45,Łuczniczka Bydgoszcz,"0:3 (19:25, 32:34, 17:25)",Indykpol AZS Olsztyn,1570,Jakub Kochanowski
25.03.2018,14:45,GKS Katowice,"2:3 (20:25, 19:25, 25:22, 25:20, 7:15)",Jastrzębski Węgiel,3200,Maciej Muzaj
25.03.2018,17:00,Dafi Społem Kielce,"1:3 (15:25, 25:23, 15:25, 13:25)",ZAKSA Kędzierzyn-Koźle,2164,Mateusz Bieniek
25.03.2018,18:00,MKS Będzin,"2:3 (20:25, 23:25, 25:23, 25:23, 15:17)",Aluron Virtu Warta Zawiercie,1500,Grzegorz Bociek
25.03.2018,20:00,Onico Warszawa,"3:0 (25:20, 27:25, 25:23)",Asseco Resovia Rzeszów,4200,Wojciech Włodarczyk
26.03.2018,18:00,Espadon Szczecin,"0:3 (21:25, 19:25, 25:27)",PGE Skra Bełchatów,2200,Marcin Janusz
04.04.2018,18:00,BBTS Bielsko-Biała,"1:3 (16:25, 22:25, 26:24, 18:25)",Trefl Gdańsk,400,Patryk Niemiec
29.03.2018,17:00,Cuprum Lubin,"2:3 (23:25, 31:33, 25:23, 25:23, 11:15)",Łuczniczka Bydgoszcz,1105,Paweł Gryc
29.03.2018,18:00,Trefl Gdańsk,"3:0 (25:21, 25:16, 25:16)",Czarni Radom,2050,Tyler Sanders
30.03.2018,17:00,Jastrzębski Węgiel,"3:0 (25:16, 25:21, 25:20)",MKS Będzin,1237,Lukas Kampa
30.03.2018,18:00,Asseco Resovia Rzeszów,"3:0 (25:23, 25:15, 25:22)",GKS Katowice,1987,Thibault Rossard
30.03.2018,18:00,Indykpol AZS Olsztyn,"3:1 (25:21, 21:25, 25:18, 25:21)",Onico Warszawa,2000,Jakub Kochanowski
30.03.2018,18:00,Aluron Virtu Warta Zawiercie,"1:3 (31:33, 26:24, 21:25, 23:25)",Espadon Szczecin,1500,Bartosz Gawryszewski
30.03.2018,18:00,Dafi Społem Kielce,"2:3 (20:25, 25:23, 19:25, 25:18, 13:15)",PGE Skra Bełchatów,1374,Patryk Czarnowski
31.03.2018,14:45,BBTS Bielsko-Biała,"0:3 (24:26, 20:25, 24:26)",ZAKSA Kędzierzyn-Koźle,1000,Maurice Torres
04.04.2018,18:00,Łuczniczka Bydgoszcz,"0:3 (20:25, 29:31, 20:25)",Czarni Radom,1130,Dejan Vinčić
06.04.2018,19:00,Stocznia Szczecin,"3:2 (18:25, 25:23, 25:17, 19:25, 15:11)",Jastrzębski Węgiel,1800,Mateusz Malinowski
07.04.2018,14:45,ZAKSA Kędzierzyn-Koźle,"2:3 (25:18, 25:23, 19:25, 21:25, 11:15)",Trefl Gdańsk,1241,Artur Szalpuk
07.04.2018,17:00,BBTS Bielsko-Biała,"1:3 (25:23, 22:25, 23:25, 18:25)",PGE Skra Bełchatów,1500,Bartosz Bednorz
07.04.2018,17:30,GKS Katowice,"2:3 (25:20, 25:22, 21:25, 20:25, 11:15)",Indykpol AZS Olsztyn,550,Michał Żurek
08.04.2018,17:30,MKS Będzin,"1:3 (28:26, 23:25, 19:25, 16:25)",Asseco Resovia Rzeszów,1200,Jakub Jarosz
08.04.2018,20:00,Onico Warszawa,"1:3 (21:25, 23:25, 25:13, 20:25)",Cuprum Lubin,3748,Łukasz Kaczmarek
09.04.2018,18:00,Dafi Społem Kielce,"1:3 (23:25, 19:25, 25:22, 20:25)",Aluron Virtu Warta Zawiercie,1520,Grzegorz Bociek
13.04.2018,18:00,Czarni Radom,"2:3 (25:22, 25:16, 26:28, 22:25, 14:16)",Onico Warszawa,1500,Andrzej Wrona
14.04.2018,14:45,PGE Skra Bełchatów,"3:0 (26:24, 25:17, 34:32)",ZAKSA Kędzierzyn-Koźle,2491,Mariusz Wlazły
15.04.2018,14:45,Indykpol AZS Olsztyn,"3:0 (25:14, 25:17, 25:11)",MKS Będzin,2390,Robbert Andringa
15.04.2018,14:45,Jastrzębski Węgiel,"3:0 (25:23, 25:16, 25:21)",Dafi Społem Kielce,1219,Salvador Hidalgo Oliva
15.04.2018,14:45,Trefl Gdańsk,"3:0 (30:28, 25:15, 27:25)",Łuczniczka Bydgoszcz,2050,Damian Schulz
15.04.2018,14:45,Asseco Resovia Rzeszów,"3:0 (25:18, 25:21, 25:19)",Stocznia Szczecin,3982,Thibault Rossard
15.04.2018,14:45,Cuprum Lubin,"3:1 (25:18, 25:17, 15:25, 25:20)",GKS Katowice,1088,Łukasz Kaczmarek
15.04.2018,14:45,Aluron Virtu Warta Zawiercie,"3:1 (32:30, 16:25, 25:21, 25:21)",BBTS Bielsko-Biała,1500,Grzegorz Pająk
