Date,Time,Host,Result,Guest,Audience,MVP
21.10.2017,17:00,Dafi Społem Kielce,"0:3 (21:25, 21:25, 23:25)",Onico Warszawa,1764,Sebastian Warda
21.10.2017,17:00,Aluron Virtu Warta Zawiercie,"3:2 (21:25, 23:25, 25:18, 26:24, 16:14)",Indykpol AZS Olsztyn,1500,Grzegorz Pająk
22.10.2017,14:45,Espadon Szczecin,"2:3 (20:25, 21:25, 25:23, 25:17, 12:15)",GKS Katowice,940,Karol Butryn
23.10.2017,18:30,Trefl Gdańsk,"3:0 (25:23, 25:18, 25:21)",MKS Będzin,2100,Mateusz Mika
21.11.2017,18:30,BBTS Bielsko-Biała,"3:0 (25:18, 25:21, 25:15)",Łuczniczka Bydgoszcz,500,Jakub Bucki
27.10.2017,18:00,Czarni Radom,"2:3 (25:21, 25:18, 20:25, 21:25, 12:15)",PGE Skra Bełchatów,1500,Mariusz Wlazły
28.10.2017,14:45,Łuczniczka Bydgoszcz,"0:3 (21:25, 18:25, 18:25)",ZAKSA Kędzierzyn-Koźle,2948,Sam Deroo
28.10.2017,17:00,GKS Katowice,"3:0 (25:21, 25:12, 25:15)",Dafi Społem Kielce,650,Karol Butryn
28.10.2017,17:00,Asseco Resovia Rzeszów,"0:3 (20:25, 21:25, 21:25)",Trefl Gdańsk,4286,Damian Schulz
28.10.2017,17:00,Onico Warszawa,"3:0 (25:17, 25:17, 25:23)",BBTS Bielsko-Biała,1600,Antoine Brizard
28.10.2017,17:00,Cuprum Lubin,"3:2 (25:18, 21:25, 20:25, 25:18, 15:12)",Aluron Virtu Warta Zawiercie,1365,Michal Masný
28.10.2017,19:00,MKS Będzin,"3:2 (15:25, 28:26, 22:25, 25:23, 15:12)",Espadon Szczecin,1150,Marcin Waliński
29.10.2017,14:45,Indykpol AZS Olsztyn,"3:0 (25:18, 25:23, 31:29)",Jastrzębski Węgiel,2400,Jan Hadrava
03.11.2017,18:00,Jastrzębski Węgiel,"3:0 (25:17, 25:17, 25:18)",Cuprum Lubin,2122,Maciej Muzaj
03.11.2017,18:00,Trefl Gdańsk,"1:3 (21:25, 25:22, 18:25, 25:27)",Espadon Szczecin,2700,Bartłomiej Kluth
04.11.2017,14:45,Asseco Resovia Rzeszów,"3:0 (25:23, 25:20, 26:24)",Indykpol AZS Olsztyn,4087,Michał Kędzierski
04.11.2017,15:00,PGE Skra Bełchatów,"3:0 (25:22, 25:16, 25:22)",Łuczniczka Bydgoszcz,2326,Patryk Czarnowski
04.11.2017,17:00,Dafi Społem Kielce,"3:1 (25:18, 25:23, 19:25, 25:22)",MKS Będzin,1823,Jakub Szymański
04.11.2017,17:00,ZAKSA Kędzierzyn-Koźle,"3:1 (25:17, 25:22, 25:27, 26:24)",Onico Warszawa,2500,Maurice Torres
04.11.2017,17:00,BBTS Bielsko-Biała,"1:3 (24:26, 28:30, 25:22, 23:25)",GKS Katowice,700,Gonzalo Quiroga
06.11.2017,18:00,Aluron Virtu Warta Zawiercie,"2:3 (21:25, 21:25, 25:19, 25:19, 14:16)",Czarni Radom,1500,Michał Filip
09.11.2017,18:00,PGE Skra Bełchatów,"3:0 (26:24, 25:22, 28:26)",Onico Warszawa,2217,Srećko Lisinac
10.11.2017,18:00,Indykpol AZS Olsztyn,"2:3 (20:25, 25:23, 25:16, 19:25, 13:15)",Trefl Gdańsk,2200,Piotr Nowakowski
