Date,Time,Host,Result,Guest,Audience,MVP
30.09.2016,20:15,Espadon Szczecin,"0:3 (15:25, 11:25, 22:25)",ZAKSA Kędzierzyn-Koźle,4150,Łukasz Wiśniewski
01.10.2016,15:00,AZS Politechnika Warszawska,"0:3 (15:25, 22:25, 23:25)",Asseco Resovia Rzeszów,2800,Thibault Rossard
01.10.2016,18:00,Jastrzębski Węgiel,"3:2 (25:19, 23:25, 22:25, 29:27, 15:7)",Indykpol AZS Olsztyn,980,Salvador Hidalgo Oliva
02.10.2016,18:00,GKS Katowice,"3:1 (25:19, 14:25, 25:18, 25:19)",Łuczniczka Bydgoszcz,760,Michał Błoński
03.10.2016,18:00,Trefl Gdańsk,"3:1 (20:25, 25:22, 25:21, 25:23)",Effector Kielce,2600,Michal Masný
04.10.2016,18:00,Czarni Radom,"3:0 (27:25, 25:21, 25:17)",AZS Częstochowa,1300,Wojciech Żaliński
05.10.2016,18:00,PGE Skra Bełchatów,"3:0 (25:18, 25:18, 26:24)",MKS Będzin,2000,Mariusz Wlazły
19.10.2016,18:00,BBTS Bielsko-Biała,"0:3 (17:25, 16:25, 20:25)",Cuprum Lubin,800,Robert Täht
06.10.2016,18:00,Espadon Szczecin,"0:3 (21:25, 20:25, 22:25)",Asseco Resovia Rzeszów,1800,Fabian Drzyzga
07.10.2016,17:30,AZS Częstochowa,"0:3 (16:25, 22:25, 16:25)",Jastrzębski Węgiel,1020,Lukas Kampa
08.10.2016,14:45,AZS Politechnika Warszawska,"3:0 (25:18, 25:20, 25:20)",Łuczniczka Bydgoszcz,900,Paweł Zagumny
08.10.2016,17:00,Indykpol AZS Olsztyn,"3:0 (25:18, 25:21, 25:12)",GKS Katowice,1500,Jan Hadrava
09.10.2016,14:45,ZAKSA Kędzierzyn-Koźle,"1:3 (25:22, 26:28, 24:26, 23:25)",PGE Skra Bełchatów,3300,Srećko Lisinac
09.10.2016,18:00,MKS Będzin,"2:3 (22:25, 25:17, 20:25, 25:20, 13:15)",Trefl Gdańsk,1350,Mateusz Mika
10.10.2016,17:30,Czarni Radom,"1:3 (20:25, 23:25, 27:25, 21:25)",BBTS Bielsko-Biała,1200,Bartosz Janeczek
02.11.2016,18:00,Effector Kielce,"2:3 (18:25, 23:25, 25:22, 25:18, 9:15)",Cuprum Lubin,1500,Grzegorz Łomacz
14.10.2016,18:00,Espadon Szczecin,"0:3 (21:25, 23:25, 20:25)",AZS Politechnika Warszawska,1400,Paweł Zagumny
14.10.2016,18:00,Czarni Radom,"2:3 (23:25, 25:20, 25:17, 21:25, 13:15)",Effector Kielce,1450,Jakub Wachnik
14.10.2016,20:15,Łuczniczka Bydgoszcz,"1:3 (18:25, 16:25, 25:19, 14:25)",Indykpol AZS Olsztyn,1970,Jan Hadrava
15.10.2016,14:45,PGE Skra Bełchatów,"1:3 (23:25, 18:25, 25:19, 20:25)",Asseco Resovia Rzeszów,2700,Fabian Drzyzga
15.10.2016,17:00,GKS Katowice,"3:0 (25:16, 25:23, 26:24)",AZS Częstochowa,500,Serhij Kapełuś
15.10.2016,17:30,Jastrzębski Węgiel,"3:0 (25:13, 25:14, 25:16)",BBTS Bielsko-Biała,1700,Maciej Muzaj
15.10.2016,20:00,Cuprum Lubin,"3:0 (25:16, 25:13, 25:19)",MKS Będzin,1600,Robert Täht
16.10.2016,14:45,Trefl Gdańsk,"1:3 (18:25, 25:21, 24:26, 23:25)",ZAKSA Kędzierzyn-Koźle,4600,Sam Deroo
20.10.2016,19:00,Espadon Szczecin,"3:0 (25:0, 25:0, 25:0)",PGE Skra Bełchatów,2060,Marcin Janusz
21.10.2016,18:00,Effector Kielce,"2:3 (25:22, 25:22, 14:25, 15:25, 13:15)",Jastrzębski Węgiel,3000,Lukas Kampa
21.10.2016,20:15,Asseco Resovia Rzeszów,"3:1 (25:18, 25:17, 17:25, 25:17)",Trefl Gdańsk,4380,John Perrin
22.10.2016,14:00,BBTS Bielsko-Biała,"0:3 (24:26, 22:25, 15:25)",GKS Katowice,500,Rafał Sobański
22.10.2016,14:45,ZAKSA Kędzierzyn-Koźle,"3:0 (25:21, 25:19, 25:16)",Cuprum Lubin,2150,Mateusz Bieniek
22.10.2016,15:00,AZS Politechnika Warszawska,"3:1 (25:23, 25:20, 18:25, 28:26)",Indykpol AZS Olsztyn,2000,Michał Filip
23.10.2016,17:00,AZS Częstochowa,"3:2 (20:25, 27:25, 21:25, 25:17, 15:11)",Łuczniczka Bydgoszcz,1050,Paweł Adamajtis
22.12.2016,19:00,MKS Będzin,"0:3 (18:25, 20:25, 22:25)",Czarni Radom,1200,Michał Kędzierski
26.10.2016,18:00,Łuczniczka Bydgoszcz,"3:0 (25:23, 25:19, 25:17)",BBTS Bielsko-Biała,1000,Bartosz Filipiak
26.10.2016,18:00,PGE Skra Bełchatów,"3:0 (25:20, 30:28, 25:22)",AZS Politechnika Warszawska,2700,Srećko Lisinac
26.10.2016,18:00,GKS Katowice,"0:3 (23:25, 28:30, 19:25)",Effector Kielce,2700,Maciej Pawliński
26.10.2016,18:00,Cuprum Lubin,"3:0 (25:20, 25:20, 25:22)",Asseco Resovia Rzeszów,2545,Łukasz Kaczmarek
26.10.2016,18:00,Jastrzębski Węgiel,"1:3 (21:25, 31:29, 22:25, 21:25)",MKS Będzin,2500,Łukasz Kozub
26.10.2016,18:00,Indykpol AZS Olsztyn,"3:1 (25:22, 27:25, 18:25, 25:19)",AZS Częstochowa,1500,Jakub Kochanowski
26.10.2016,19:00,Trefl Gdańsk,"3:1 (25:15, 26:28, 27:25, 25:19)",Espadon Szczecin,2250,Damian Schulz
26.10.2016,20:30,Czarni Radom,"1:3 (22:25, 20:25, 25:23, 19:25)",ZAKSA Kędzierzyn-Koźle,1600,Dawid Konarski
29.10.2016,14:45,PGE Skra Bełchatów,"3:0 (25:18, 30:28, 25:16)",Trefl Gdańsk,2700,Michał Winiarski
29.10.2016,17:00,Cuprum Lubin,"3:0 (25:14, 25:23, 25:14)",Espadon Szczecin,1300,Piotr Hain
29.10.2016,17:00,BBTS Bielsko-Biała,"0:3 (22:25, 23:25, 16:25)",Indykpol AZS Olsztyn,500,Aleksander Śliwka
29.10.2016,17:00,Effector Kielce,"3:2 (15:25, 25:23, 22:25, 25:18, 15:11)",Łuczniczka Bydgoszcz,1950,Leo Andrić
29.10.2016,18:00,MKS Będzin,"3:1 (25:22, 22:25, 25:21, 25:17)",GKS Katowice,1300,Rafael Rodrigues de Araújo
29.10.2016,20:00,ZAKSA Kędzierzyn-Koźle,"3:2 (25:21, 20:25, 25:16, 25:27, 22:20)",Jastrzębski Węgiel,2800,Dawid Konarski
30.10.2016,14:45,Asseco Resovia Rzeszów,"3:0 (25:18, 25:16, 25:15)",Czarni Radom,4000,Marko Ivović
31.10.2016,18:00,AZS Politechnika Warszawska,"1:3 (25:22, 29:31, 22:25, 21:25)",AZS Częstochowa,1500,Oleksandr Grebeniuk
04.11.2016,20:15,Jastrzębski Węgiel,"3:1 (25:17, 25:21, 23:25, 25:20)",Asseco Resovia Rzeszów,3000,Salvador Hidalgo Oliva
05.11.2016,14:45,Cuprum Lubin,"0:3 (23:25, 19:25, 19:25)",PGE Skra Bełchatów,3350,Mariusz Wlazły
05.11.2016,17:00,Łuczniczka Bydgoszcz,"3:0 (25:23, 25:18, 25:19)",MKS Będzin,1650,Patryk Szczurek
05.11.2016,17:00,Trefl Gdańsk,"3:1 (25:20, 23:25, 25:16, 25:20)",AZS Politechnika Warszawska,2650,Michal Masný
05.11.2016,17:00,Czarni Radom,"3:1 (25:20, 25:20, 27:29, 25:19)",Espadon Szczecin,1300,Tomasz Fornal
05.11.2016,17:00,AZS Częstochowa,"3:2 (16:25, 25:22, 25:23, 22:25, 15:4)",BBTS Bielsko-Biała,1100,Paweł Adamajtis
05.11.2016,20:00,GKS Katowice,"0:3 (26:28, 16:25, 20:25)",ZAKSA Kędzierzyn-Koźle,1500,Sam Deroo
07.11.2016,18:00,Indykpol AZS Olsztyn,"3:0 (25:20, 25:23, 25:20)",Effector Kielce,1500,Wojciech Włodarczyk
11.11.2016,14:45,Trefl Gdańsk,"3:2 (25:16, 18:25, 17:25, 25:22, 15:13)",Cuprum Lubin,3000,Michal Masný
12.11.2016,14:45,PGE Skra Bełchatów,"3:0 (25:12, 25:23, 25:18)",Czarni Radom,2700,Nicolás Uriarte
12.11.2016,17:00,ZAKSA Kędzierzyn-Koźle,"3:1 (26:24, 25:18, 19:25, 25:15)",Łuczniczka Bydgoszcz,2450,Dawid Konarski
12.11.2016,17:00,Effector Kielce,"3:1 (25:22, 25:21, 19:25, 25:21)",AZS Częstochowa,1000,Marcin Komenda
12.11.2016,17:00,Asseco Resovia Rzeszów,"2:3 (25:17, 23:25, 23:25, 25:22, 11:15)",GKS Katowice,4050,Karol Butryn
12.11.2016,20:00,MKS Będzin,"2:3 (25:20, 22:25, 13:25, 25:22, 6:15)",Indykpol AZS Olsztyn,1350,Jan Hadrava
14.11.2016,19:00,Espadon Szczecin,"1:3 (23:25, 25:23, 17:25, 15:25)",Jastrzębski Węgiel,960,Damian Boruch
