Date,Time,Host,Result,Guest,Audience,MVP
21.12.2016,19:30,AZS Politechnika Warszawska,"1:3 (23:25, 25:20, 21:25, 23:25)",BBTS Bielsko-Biała,1315,Bartłomiej Lipiński
09.11.2016,18:00,Jastrzębski Węgiel,"3:2 (22:25, 25:22, 25:21, 23:25, 15:11)",PGE Skra Bełchatów,3000,Salvador Hidalgo Oliva
17.11.2016,18:00,BBTS Bielsko-Biała,"2:3 (21:25, 25:23, 25:21, 22:25, 12:15)",Effector Kielce,400,Marcin Komenda
18.11.2016,20:15,Indykpol AZS Olsztyn,"0:3 (19:25, 16:25, 21:25)",ZAKSA Kędzierzyn-Koźle,2400,Dawid Konarski
19.11.2016,14:45,Czarni Radom,"3:1 (21:25, 25:22, 30:28, 32:30)",Trefl Gdańsk,1400,Bartłomiej Bołądź
19.11.2016,17:00,Łuczniczka Bydgoszcz,"0:3 (21:25, 18:25, 20:25)",Asseco Resovia Rzeszów,4250,Gavin Schmitt
19.11.2016,17:00,GKS Katowice,"3:1 (25:19, 21:25, 35:33, 25:16)",Espadon Szczecin,750,Karol Butryn
19.11.2016,17:00,AZS Częstochowa,"2:3 (25:19, 18:25, 32:34, 25:18, 10:15)",MKS Będzin,1450,Marcin Waliński
19.11.2016,18:00,Cuprum Lubin,"3:1 (21:25, 25:19, 25:19, 25:15)",AZS Politechnika Warszawska,1920,Łukasz Kaczmarek
24.11.2016,18:00,Cuprum Lubin,"1:3 (26:28, 25:23, 29:31, 23:25)",Czarni Radom,1850,David Smith
25.11.2016,18:00,Effector Kielce,"1:3 (17:25, 28:30, 25:22, 23:25)",AZS Politechnika Warszawska,2500,Paweł Zagumny
25.11.2016,20:15,PGE Skra Bełchatów,"3:0 (25:19, 25:17, 25:22)",GKS Katowice,2500,Kacper Piechocki
26.11.2016,14:45,Jastrzębski Węgiel,"3:2 (25:21, 25:20, 23:25, 22:25, 15:13)",Trefl Gdańsk,2500,Salvador Hidalgo Oliva
26.11.2016,17:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:11, 25:21, 25:19)",AZS Częstochowa,2200,Mateusz Bieniek
26.11.2016,18:00,MKS Będzin,"3:0 (25:12, 25:19, 25:13)",BBTS Bielsko-Biała,1300,Artur Ratajczak
26.11.2016,20:00,Asseco Resovia Rzeszów,"3:1 (25:19, 22:25, 25:22, 25:21)",Indykpol AZS Olsztyn,4150,Gavin Schmitt
27.11.2016,20:00,Espadon Szczecin,"3:2 (20:25, 25:21, 16:25, 25:14, 15:12)",Łuczniczka Bydgoszcz,950,Janusz Gałązka
29.11.2016,18:00,Czarni Radom,"3:1 (25:23, 22:25, 25:17, 25:22)",AZS Politechnika Warszawska,1300,Wojciech Żaliński
30.11.2016,18:00,BBTS Bielsko-Biała,"0:3 (15:25, 17:25, 15:25)",ZAKSA Kędzierzyn-Koźle,1000,Patryk Czarnowski
30.11.2016,18:00,Łuczniczka Bydgoszcz,"0:3 (23:25, 19:25, 23:25)",PGE Skra Bełchatów,4800,Nicolás Uriarte
30.11.2016,18:00,Indykpol AZS Olsztyn,"3:1 (23:25, 28:26, 28:26, 25:13)",Espadon Szczecin,1200,Daniel Pliński
30.11.2016,18:00,Effector Kielce,"2:3 (17:25, 17:25, 27:25, 25:21, 10:15)",MKS Będzin,800,Rafael Rodrigues de Araújo
30.11.2016,18:00,Jastrzębski Węgiel,"2:3 (24:26, 26:24, 25:12, 16:25, 11:15)",Cuprum Lubin,2730,Robert Täht
30.11.2016,20:00,Trefl Gdańsk,"0:3 (18:25, 22:25, 20:25)",GKS Katowice,2250,Serhij Kapełuś
30.11.2016,20:30,AZS Częstochowa,"0:3 (23:25, 18:25, 21:25)",Asseco Resovia Rzeszów,1700,Marko Ivović
02.12.2016,20:15,Czarni Radom,"1:3 (23:25, 28:26, 16:25, 23:25)",Jastrzębski Węgiel,1500,Scott Touzinsky
03.12.2016,14:45,PGE Skra Bełchatów,"3:1 (25:27, 25:22, 25:13, 25:21)",Indykpol AZS Olsztyn,2650,Artur Szalpuk
03.12.2016,16:30,ZAKSA Kędzierzyn-Koźle,"3:0 (28:26, 25:18, 25:21)",Effector Kielce,2650,Mateusz Bieniek
03.12.2016,17:00,Asseco Resovia Rzeszów,"3:2 (28:30, 25:16, 21:25, 25:18, 15:7)",BBTS Bielsko-Biała,4050,Gavin Schmitt
03.12.2016,20:00,AZS Politechnika Warszawska,"3:2 (36:38, 23:25, 25:18, 25:18, 15:6)",MKS Będzin,1700,Paweł Zagumny
04.12.2016,16:00,Trefl Gdańsk,"3:1 (36:38, 25:18, 25:14, 25:18)",Łuczniczka Bydgoszcz,2520,Dmytro Paszycki
05.12.2016,18:00,Espadon Szczecin,"3:2 (21:25, 25:20, 25:23, 19:25, 15:10)",AZS Częstochowa,650,Michał Ruciak
06.12.2016,18:00,Cuprum Lubin,"3:2 (33:35, 25:18, 25:20, 21:25, 15:10)",GKS Katowice,1560,Łukasz Kaczmarek
09.12.2016,18:00,MKS Będzin,"0:3 (16:25, 16:25, 18:25)",ZAKSA Kędzierzyn-Koźle,1400,Benjamin Toniutti
09.12.2016,18:00,Łuczniczka Bydgoszcz,"1:3 (27:25, 23:25, 20:25, 20:25)",Cuprum Lubin,1450,Grzegorz Łomacz
09.12.2016,20:15,Indykpol AZS Olsztyn,"3:2 (25:21, 25:14, 21:25, 13:25, 16:14)",Trefl Gdańsk,2000,Jan Hadrava
10.12.2016,14:45,Jastrzębski Węgiel,"3:2 (28:30, 20:25, 25:18, 25:20, 15:12)",AZS Politechnika Warszawska,1880,Salvador Hidalgo Oliva
10.12.2016,17:00,Effector Kielce,"0:3 (21:25, 29:31, 12:25)",Asseco Resovia Rzeszów,2000,Thibault Rossard
10.12.2016,17:00,GKS Katowice,"0:3 (23:25, 19:25, 27:29)",Czarni Radom,750,Michał Kędzierski
10.12.2016,17:00,BBTS Bielsko-Biała,"3:1 (25:21, 25:21, 19:25, 26:24)",Espadon Szczecin,800,Paweł Gryc
10.12.2016,20:00,AZS Częstochowa,"1:3 (30:28, 15:25, 22:25, 21:25)",PGE Skra Bełchatów,2750,Artur Szalpuk
13.12.2016,18:00,Espadon Szczecin,"3:0 (25:23, 31:29, 25:21)",Effector Kielce,790,Bartłomiej Kluth
14.12.2016,18:00,Asseco Resovia Rzeszów,"3:0 (25:20, 25:17, 25:18)",MKS Będzin,3320,Bartłomiej Lemański
14.12.2016,18:00,PGE Skra Bełchatów,"3:0 (25:17, 25:14, 25:21)",BBTS Bielsko-Biała,2500,Bartosz Kurek
14.12.2016,18:00,Jastrzębski Węgiel,"3:1 (25:15, 24:26, 25:19, 25:16)",GKS Katowice,1500,Patryk Strzeżek
14.12.2016,18:00,Cuprum Lubin,"1:3 (19:25, 22:25, 25:21, 23:25)",Indykpol AZS Olsztyn,1750,Aleksander Śliwka
14.12.2016,18:00,Łuczniczka Bydgoszcz,"2:3 (25:18, 30:32, 25:14, 17:25, 11:15)",Czarni Radom,1050,Wojciech Żaliński
14.12.2016,18:30,Trefl Gdańsk,"3:1 (22:25, 25:15, 25:18, 25:19)",AZS Częstochowa,2217,Mateusz Mika
14.12.2016,20:30,AZS Politechnika Warszawska,"0:3 (13:25, 21:25, 21:25)",ZAKSA Kędzierzyn-Koźle,4200,Dawid Konarski
16.12.2016,20:15,Łuczniczka Bydgoszcz,"0:3 (18:25, 18:25, 20:25)",Jastrzębski Węgiel,1800,Jakub Popiwczak
17.12.2016,14:45,ZAKSA Kędzierzyn-Koźle,"2:3 (23:25, 25:18, 25:18, 18:25, 13:15)",Asseco Resovia Rzeszów,3000,Marko Ivović
17.12.2016,17:00,Trefl Gdańsk,"3:1 (22:25, 25:21, 25:19, 25:14)",BBTS Bielsko-Biała,2137,Damian Schulz
17.12.2016,17:00,AZS Częstochowa,"1:3 (22:25, 22:25, 28:26, 22:25)",Cuprum Lubin,1130,Grzegorz Łomacz
17.12.2016,17:00,GKS Katowice,"2:3 (28:30, 25:16, 25:18, 21:25, 12:15)",AZS Politechnika Warszawska,700,Michał Filip
17.12.2016,18:00,Effector Kielce,"0:3 (20:25, 20:25, 17:25)",PGE Skra Bełchatów,2750,Kacper Piechocki
18.12.2016,15:00,Indykpol AZS Olsztyn,"3:1 (22:25, 25:16, 25:20, 25:15)",Czarni Radom,1800,Wojciech Włodarczyk
19.12.2016,18:00,MKS Będzin,"3:0 (25:19, 25:16, 25:21)",Espadon Szczecin,1300,Marcin Waliński
21.12.2016,18:00,Effector Kielce,"0:3 (15:25, 22:25, 22:25)",Trefl Gdańsk,1000,Miłosz Hebda
22.12.2016,20:30,Indykpol AZS Olsztyn,"3:1 (24:26, 25:18, 25:23, 27:25)",Jastrzębski Węgiel,1800,Wojciech Włodarczyk
30.12.2016,18:00,AZS Częstochowa,"0:3 (13:25, 21:25, 15:25)",Czarni Radom,1070,Tomasz Fornal
30.12.2016,18:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:18, 25:12, 25:22)",Espadon Szczecin,2650,Mateusz Bieniek
30.12.2016,18:00,Cuprum Lubin,"3:0 (25:22, 25:18, 25:17)",BBTS Bielsko-Biała,1300,Marcus Böhme
30.12.2016,18:00,Łuczniczka Bydgoszcz,"2:3 (25:22, 17:25, 25:21, 23:25, 15:17)",GKS Katowice,1200,Rafał Sobański
30.12.2016,19:00,MKS Będzin,"2:3 (18:25, 28:26, 25:22, 23:25, 10:15)",PGE Skra Bełchatów,1400,Srećko Lisinac
30.12.2016,20:15,Asseco Resovia Rzeszów,"3:0 (25:19, 25:18, 25:17)",AZS Politechnika Warszawska,4180,Bartłomiej Lemański
06.01.2017,20:15,Łuczniczka Bydgoszcz,"0:3 (17:25, 20:25, 26:28)",AZS Politechnika Warszawska,1000,Michał Filip
07.01.2017,14:45,PGE Skra Bełchatów,"3:2 (23:25, 19:25, 25:18, 25:20, 15:9)",ZAKSA Kędzierzyn-Koźle,2700,Mariusz Wlazły
07.01.2017,15:00,Jastrzębski Węgiel,"3:0 (25:18, 25:16, 25:16)",AZS Częstochowa,2200,Damian Boruch
07.01.2017,15:00,BBTS Bielsko-Biała,"3:1 (25:20, 20:25, 25:23, 25:20)",Czarni Radom,700,Bartosz Janeczek
07.01.2017,17:00,Cuprum Lubin,"3:0 (25:20, 25:16, 25:17)",Effector Kielce,1550,Grzegorz Łomacz
07.01.2017,17:00,Asseco Resovia Rzeszów,"3:0 (25:23, 25:18, 25:17)",Espadon Szczecin,3500,Mateusz Masłowski
08.01.2017,14:45,GKS Katowice,"0:3 (14:25, 20:25, 15:25)",Indykpol AZS Olsztyn,600,Paweł Woicki
08.01.2017,16:00,Trefl Gdańsk,"3:0 (25:21, 25:19, 27:25)",MKS Będzin,1950,Dmytro Paszycki
20.01.2017,20:15,Czarni Radom,"3:1 (25:22, 25:18, 22:25, 25:23)",MKS Będzin,1300,Michał Kędzierski
21.01.2017,14:45,Jastrzębski Węgiel,"3:0 (25:21, 25:17, 25:23)",Effector Kielce,2100,Salvador Hidalgo Oliva
21.01.2017,17:00,Indykpol AZS Olsztyn,"3:0 (25:18, 30:28, 25:20)",AZS Politechnika Warszawska,1650,Michał Żurek
21.01.2017,17:00,Łuczniczka Bydgoszcz,"3:0 (25:18, 25:23, 27:25)",AZS Częstochowa,1250,Piotr Sieńko
22.01.2017,14:45,Trefl Gdańsk,"3:2 (23:25, 26:24, 17:25, 25:20, 15:10)",Asseco Resovia Rzeszów,4150,Damian Schulz
22.01.2017,18:00,PGE Skra Bełchatów,"3:0 (25:23, 25:21, 25:23)",Espadon Szczecin,2000,Jurij Gładyr
23.01.2017,18:00,GKS Katowice,"3:0 (25:22, 25:21, 25:13)",BBTS Bielsko-Biała,2650,Karol Butryn
24.01.2017,18:00,Cuprum Lubin,"1:3 (17:25, 25:19, 23:25, 19:25)",ZAKSA Kędzierzyn-Koźle,2745,Sam Deroo
27.01.2017,18:00,Indykpol AZS Olsztyn,"3:1 (25:22, 25:21, 20:25, 25:20)",Łuczniczka Bydgoszcz,1200,Daniel Pliński
27.01.2017,18:00,MKS Będzin,"3:2 (25:23, 20:25, 25:23, 23:25, 15:11)",Cuprum Lubin,1000,Krzysztof Rejno
28.01.2017,14:45,Asseco Resovia Rzeszów,"3:1 (20:25, 25:22, 30:28, 25:17)",PGE Skra Bełchatów,4300,Gavin Schmitt
28.01.2017,17:00,Effector Kielce,"0:3 (22:25, 17:25, 19:25)",Czarni Radom,2150,Wojciech Żaliński
28.01.2017,17:00,AZS Częstochowa,"2:3 (14:25, 25:21, 22:25, 25:22, 10:15)",GKS Katowice,900,Tomasz Kalembka
28.01.2017,18:00,AZS Politechnika Warszawska,"3:0 (25:19, 25:17, 25:20)",Espadon Szczecin,2200,Łukasz Łapszyński
28.01.2017,20:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:22, 25:15, 25:16)",Trefl Gdańsk,2250,Łukasz Wiśniewski
30.01.2017,18:00,BBTS Bielsko-Biała,"1:3 (25:22, 17:25, 19:25, 20:25)",Jastrzębski Węgiel,1000,Grzegorz Kosok
03.02.2017,18:00,BBTS Bielsko-Biała,"2:3 (29:31, 25:16, 25:22, 17:25, 11:15)",Łuczniczka Bydgoszcz,500,Bartosz Filipiak
03.02.2017,19:00,MKS Będzin,"1:3 (25:21, 22:25, 26:28, 20:25)",Jastrzębski Węgiel,1300,Lukas Kampa
04.02.2017,14:45,AZS Politechnika Warszawska,"3:1 (25:22, 22:25, 25:23, 25:18)",PGE Skra Bełchatów,5800,Maciej Olenderek
04.02.2017,17:00,AZS Częstochowa,"0:3 (18:25, 23:25, 22:25)",Indykpol AZS Olsztyn,1000,Jakub Kochanowski
04.02.2017,17:00,Effector Kielce,"1:3 (25:22, 13:25, 19:25, 23:25)",GKS Katowice,1400,Marco Falaschi
04.02.2017,17:00,ZAKSA Kędzierzyn-Koźle,"3:2 (21:25, 26:24, 17:25, 25:19, 19:17)",Czarni Radom,1800,Sam Deroo
05.02.2017,18:00,Asseco Resovia Rzeszów,"3:2 (26:24, 25:16, 15:25, 21:25, 17:15)",Cuprum Lubin,4070,Marcin Możdżonek
06.02.2017,18:00,Espadon Szczecin,"3:1 (22:25, 25:22, 31:29, 25:23)",Trefl Gdańsk,1230,Bartłomiej Kluth
10.02.2017,18:00,Czarni Radom,"1:3 (25:19, 18:25, 21:25, 14:25)",Asseco Resovia Rzeszów,1500,Thibault Rossard
10.02.2017,18:00,Łuczniczka Bydgoszcz,"2:3 (23:25, 25:17, 25:22, 20:25, 15:17)",Effector Kielce,1300,Marcin Komenda
10.02.2017,18:00,Jastrzębski Węgiel,"2:3 (25:23, 25:23, 19:25, 18:25, 11:15)",ZAKSA Kędzierzyn-Koźle,3112,Łukasz Wiśniewski
11.02.2017,14:45,Trefl Gdańsk,"2:3 (25:21, 20:25, 25:16, 18:25, 10:15)",PGE Skra Bełchatów,6850,Bartosz Kurek
11.02.2017,17:00,Indykpol AZS Olsztyn,"3:0 (25:17, 25:18, 25:22)",BBTS Bielsko-Biała,1500,Wojciech Włodarczyk
11.02.2017,17:00,GKS Katowice,"0:3 (20:25, 22:25, 23:25)",MKS Będzin,800,Krzysztof Rejno
12.02.2017,14:45,Espadon Szczecin,"0:3 (19:25, 16:25, 15:25)",Cuprum Lubin,1370,Rafail Kumendakis
13.02.2017,18:00,AZS Częstochowa,"1:3 (25:16, 18:25, 28:30, 22:25)",AZS Politechnika Warszawska,1000,Łukasz Łapszyński
17.02.2017,18:00,BBTS Bielsko-Biała,"1:3 (23:25, 25:19, 18:25, 22:25)",AZS Częstochowa,700,Bartosz Buniak
17.02.2017,18:00,Espadon Szczecin,"2:3 (12:25, 20:25, 25:22, 25:23, 9:15)",Czarni Radom,1034,Emanuel Kohút
17.02.2017,18:00,MKS Będzin,"2:3 (25:17, 19:25, 22:25, 25:14, 13:15)",Łuczniczka Bydgoszcz,1150,Bartosz Filipak
18.02.2017,14:45,PGE Skra Bełchatów,"3:0 (25:20, 25:16, 25:23)",Cuprum Lubin,2700,Mariusz Wlazły
18.02.2017,17:00,ZAKSA Kędzierzyn-Koźle,"3:0 (30:28, 32:30, 31:29)",GKS Katowice,1740,Dawid Konarski
18.02.2017,17:00,Effector Kielce,"0:3 (23:25, 19:25, 19:25)",Indykpol AZS Olsztyn,2100,Miłosz Zniszczoł
18.02.2017,20:00,Asseco Resovia Rzeszów,"1:3 (21:25, 25:15, 24:26, 20:25)",Jastrzębski Węgiel,4512,Lukas Kampa
19.02.2017,14:45,AZS Politechnika Warszawska,"1:3 (25:27, 23:25, 25:21, 18:25)",Trefl Gdańsk,2700,Bartosz Gawryszewski
21.02.2017,20:30,Czarni Radom,"2:3 (25:16, 19:25, 25:22, 17:25, 10:15)",PGE Skra Bełchatów,1510,Srećko Lisinac
22.02.2017,18:00,Jastrzębski Węgiel,"3:0 (25:15, 25:20, 25:23)",Espadon Szczecin,2000,Maciej Muzaj
22.02.2017,18:00,Łuczniczka Bydgoszcz,"0:3 (23:25, 16:25, 22:25)",ZAKSA Kędzierzyn-Koźle,3050,Benjamin Toniutti
22.02.2017,18:00,BBTS Bielsko-Biała,"3:0 (25:21, 31:29, 25:22)",AZS Politechnika Warszawska,600,Bartłomiej Lipiński
22.02.2017,18:00,Cuprum Lubin,"3:1 (25:16, 24:26, 25:15, 25:16)",Trefl Gdańsk,2800,Keith Pupart
22.02.2017,18:00,Indykpol AZS Olsztyn,"3:2 (24:26, 19:25, 25:13, 25:13, 15:9)",MKS Będzin,2000,Daniel Pliński
22.02.2017,18:30,AZS Częstochowa,"1:3 (20:25, 20:25, 25:17, 25:27)",Effector Kielce,1000,Marcin Komenda
22.02.2017,20:30,GKS Katowice,"2:3 (26:28, 25:20, 25:22, 23:25, 12:15)",Asseco Resovia Rzeszów,1500,Jochen Schöps
18.01.2017,19:30,AZS Politechnika Warszawska,"0:3 (15:25, 21:25, 19:25)",Cuprum Lubin,1500,Grzegorz Łomacz
24.02.2017,18:00,MKS Będzin,"3:1 (27:29, 25:19, 25:14, 25:10)",AZS Częstochowa,1100,Marcin Waliński
25.02.2017,14:45,ZAKSA Kędzierzyn-Koźle,"3:1 (21:25, 25:21, 25:21, 25:22)",Indykpol AZS Olsztyn,2250,Benjamin Toniutti
25.02.2017,17:00,Effector Kielce,"3:0 (25:21, 25:13, 25:13)",BBTS Bielsko-Biała,970,Leo Andrić
25.02.2017,20:00,Asseco Resovia Rzeszów,"3:0 (25:17, 25:21, 25:13)",Łuczniczka Bydgoszcz,4094,Jochen Schöps
26.02.2017,14:30,Trefl Gdańsk,"3:1 (22:25, 25:18, 25:23, 25:20)",Czarni Radom,2850,Mateusz Mika
