Date,Time,Host,Result,Guest,Audience,MVP
04.12.2018,20:30,Onico Warszawa,"3:1 (23:25, 25:17, 25:15, 25:18)",GKS Katowice,2000,Antoine Brizard
31.10.2018,18:00,Trefl Gdańsk,"3:2 (19:25, 22:25, 25:20, 31:29, 15:6)",Indykpol AZS Olsztyn,2100,Maciej Muzaj
07.11.2018,18:00,Chemik Bydgoszcz,"1:3 (19:25, 25:19, 23:25, 18:25)",Czarni Radom,1875,Dejan Vinčić
07.11.2018,18:00,MKS Będzin,"1:3 (23:25, 14:25, 25:23, 21:25)",Cuprum Lubin,1100,Masahiro Yanagida
07.11.2018,18:00,Aluron Virtu Warta Zawiercie,"3:1 (25:27, 25:22, 25:18, 25:23)",GKS Katowice,1500,Michal Masný
07.11.2018,18:00,PGE Skra Bełchatów,"3:1 (32:30, 21:25, 26:24, 25:21)",Asseco Resovia Rzeszów,2010,Mariusz Wlazły
07.11.2018,20:30,ZAKSA Kędzierzyn-Koźle,"3:0 (25:18, 25:22, 25:20 )",Jastrzębski Węgiel,2110,Paweł Zatorski
08.11.2018,20:30,Stocznia Szczecin,"3:1 (25:20, 16:25, 25:17, 25:21)",Onico Warszawa,3650,Simon Van De Voorde
10.11.2018,14:45,Jastrzębski Węgiel,"3:0 (25:22, 25:16, 25:18)",Trefl Gdańsk,2517,Dawid Konarski
10.11.2018,17:30,Cuprum Lubin,"0:3 (16:25, 17:25, 22:25)",PGE Skra Bełchatów,2358,Jakub Kochanowski
10.11.2018,20:00,Indykpol AZS Olsztyn,"3:0 (30:28, 25:17, 26:24)",Chemik Bydgoszcz,1839,Paweł Woicki
11.11.2018,14:45,Asseco Resovia Rzeszów,"2:3 (13:25, 26:28, 25:20, 25:23, 18:20)",ZAKSA Kędzierzyn-Koźle,4045,Sam Deroo
11.11.2018,17:30,Aluron Virtu Warta Zawiercie,"3:0 (26:24, 25:23, 26:24)",Stocznia Szczecin,1500,Grzegorz Bociek
12.11.2018,18:00,MKS Będzin,"1:3 (25:22, 17:25, 17:25, 20:25)",Onico Warszawa,1420,Rafael Rodrigues de Araújo
12.11.2018,20:30,Czarni Radom,"3:0 (25:18, 25:16, 25:22)",GKS Katowice,1500,Dejan Vinčić
16.11.2018,18:00,Trefl Gdańsk,"1:3 (16:25, 25:22, 20:25, 22:25)",Asseco Resovia Rzeszów,4918,Damian Schulz
16.11.2018,20:30,ZAKSA Kędzierzyn-Koźle,"3:0 (25:16, 25:22, 25:14)",Cuprum Lubin,1601,Benjamin Toniutti
17.11.2018,14:45,PGE Skra Bełchatów,"3:0 (25:21, 25:21, 25:20)",Onico Warszawa,2437,Milad Ebadipur
17.11.2018,17:30,Chemik Bydgoszcz,"3:1 (19:25, 25:21, 25:21, 25:15)",GKS Katowice,1985,Raphael Margarido
18.11.2018,14:45,Indykpol AZS Olsztyn,"1:3 (22:25, 25:27, 25:18, 14:25)",Jastrzębski Węgiel,2368,Julien Lyneel
18.11.2018,17:30,Stocznia Szczecin,"3:1 (25:16, 25:23, 22:25, 25:23)",Czarni Radom,2900,Bartosz Kurek
19.11.2018,18:00,MKS Będzin,"2:3 (25:20, 21:25, 21:25, 25:20, 12:15)",Aluron Virtu Warta Zawiercie,1450,Bartosz Gawryszewski
23.11.2018,18:00,Czarni Radom,"3:0 (25:10, 25:16, 25:17)",MKS Będzin,1500,Maksim Żygałow
23.11.2018,20:30,Asseco Resovia Rzeszów,"2:3 (23:25, 23:25, 25:18, 25:16, 11:15)",Indykpol AZS Olsztyn,3937,Serhij Kapełuś
24.11.2018,14:45,GKS Katowice,"3:1 (25:23, 28:26, 17:25, 25:12)",Stocznia Szczecin,1000,Karol Butryn
24.11.2018,17:30,Aluron Virtu Warta Zawiercie,"3:1 (25:20, 25:20, 25:27, 25:21)",PGE Skra Bełchatów,1500,Marcin Waliński
25.11.2018,14:45,Cuprum Lubin,"0:3 (19:25, 21:25, 20:25)",Trefl Gdańsk,950,Maciej Muzaj
26.11.2018,18:00,Jastrzębski Węgiel,"0:3 (23:25, 16:25, 22:25)",Chemik Bydgoszcz,1739,Michał Szalacha
27.11.2018,19:00,Onico Warszawa,"1:3 (17:25, 19:25, 25:18, 13:25)",ZAKSA Kędzierzyn-Koźle,4385,Sam Deroo
07.12.2018,20:30,Trefl Gdańsk,"1:3 (25:20, 18:25, 15:25, 14:25)",Onico Warszawa,2900,Piotr Łukasik
08.12.2018,14:45,Jastrzębski Węgiel,"3:1 (25:23, 27:29, 25:18, 25:21)",Asseco Resovia Rzeszów,2462,Julien Lyneel
08.12.2018,17:30,ZAKSA Kędzierzyn-Koźle,"3:1 (25:19, 20:25, 25:17, 28:26)",Aluron Virtu Warta Zawiercie,1852,Sam Deroo
09.12.2018,14:45,PGE Skra Bełchatów,"3:1 (16:25, 25:23, 25:21, 25:19)",Czarni Radom,2410,Grzegorz Łomacz
09.12.2018,17:30,Indykpol AZS Olsztyn,"2:3 (25:11, 10:25, 25:22, 18:25, 11:15)",Cuprum Lubin,1874,Igor Grobelny
10.12.2018,18:00,MKS Będzin,"2:3 (22:25, 25:23, 20:25, 25:23, 24:26)",GKS Katowice,1020,Tomas Rousseaux
12.12.2018,17:30,Czarni Radom,"0:3 (21:25, 18:25, 20:25)",ZAKSA Kędzierzyn-Koźle,1500,Łukasz Kaczmarek
12.12.2018,18:00,Cuprum Lubin,"2:3 (25:23, 19:25, 20:25, 25:21, 9:15)",Jastrzębski Węgiel,1212,Julien Lyneel
12.12.2018,18:00,Aluron Virtu Warta Zawiercie,"3:2 (25:23, 25:19, 27:29, 20:25, 15:10)",Trefl Gdańsk,1500,Taichirō Koga
12.12.2018,18:00,Asseco Resovia Rzeszów,"3:2 (27:25, 22:25, 26:24, 26:28, 16:14)",Chemik Bydgoszcz,3423,Bartłomiej Lemański
12.12.2018,19:00,GKS Katowice,"3:0 (25:23, 25:17, 25:19)",PGE Skra Bełchatów,1150,Tomas Rousseaux
12.12.2018,20:30,Onico Warszawa,"3:1 (25:18, 25:21, 21:25, 25:11)",Indykpol AZS Olsztyn,4525,Bartosz Kurek
15.12.2018,17:30,ZAKSA Kędzierzyn-Koźle,"3:1 (23:25, 25:19, 25:18, 25:20)",GKS Katowice,1186,Sam Deroo
15.12.2018,20:30,Indykpol AZS Olsztyn,"2:3 (23:25, 18:25, 25:23, 25:17, 9:15)",Aluron Virtu Warta Zawiercie,1682,Kamil Semeniuk
16.12.2018,14:45,Trefl Gdańsk,"0:3 (23:25, 20:25, 18:25)",Czarni Radom,2150,Maksim Żygałow
16.12.2018,17:30,Jastrzębski Węgiel,"2:3 (22:25, 17:25, 25:19, 25:20, 11:15)",Onico Warszawa,2811,Bartosz Kwolek
16.12.2018,20:30,Asseco Resovia Rzeszów,"3:0 (25:21, 25:22, 25:15)",Cuprum Lubin,2547,David Smith
17.12.2018,17:30,Chemik Bydgoszcz,"3:0 (25:18, 25:21, 25:20)",MKS Będzin,1074,Bartosz Filipiak
20.12.2018,20:30,Czarni Radom,"1:3 (22:25, 22:25, 28:26, 16:25)",Asseco Resovia Rzeszów,1500,Damian Schulz
21.12.2018,17:30,Aluron Virtu Warta Zawiercie,"3:1 (25:22, 25:20, 15:25, 25:23)",Cuprum Lubin,1500,Michal Masný
21.12.2018,20:30,Chemik Bydgoszcz,"1:3 (25:22, 18:25, 19:25, 19:25)",Onico Warszawa,3058,Piotr Łukasik
22.12.2018,14:45,PGE Skra Bełchatów,"1:3 (25:27, 25:23, 20:25, 22:25)",ZAKSA Kędzierzyn-Koźle,2460,Aleksander Śliwka
22.12.2018,17:30,Jastrzębski Węgiel,"3:0 (25:18, 25:20, 25:20)",GKS Katowice,2206,Dawid Konarski
22.12.2018,20:30,MKS Będzin,"0:3 (23:25, 23:25, 19:25 )",Trefl Gdańsk,1000,Maciej Muzaj
21.11.2018,18:00,Cuprum Lubin,"1:3 (19:25, 27:25, 23:25, 16:25)",Onico Warszawa,1058,Bartosz Kwolek
30.11.2018,20:30,ZAKSA Kędzierzyn-Koźle,"3:0 (25:16, 25:18, 25:22)",MKS Będzin,1003,Paweł Zatorski
29.12.2018,17:30,PGE Skra Bełchatów,"3:0 (25:22, 25:21, 25:15)",Chemik Bydgoszcz,2421,Jakub Kochanowski
29.12.2018,20:30,Indykpol AZS Olsztyn,"1:3 (19:25, 18:25, 25:21, 15:25)",GKS Katowice,2069,Bartosz Mariański
29.12.2018,14:45,Jastrzębski Węgiel,"3:0 (25:16, 25:16, 25:20 )",Czarni Radom,2920,Julien Lyneel
01.02.2019,20:30,Asseco Resovia Rzeszów,"0:3 (21:25, 23:25, 22:25)",Aluron Virtu Warta Zawiercie,3125,Michal Masný
11.01.2019,17:30,MKS Będzin,"0:3 (22:25, 14:25, 20:25)",PGE Skra Bełchatów,1450,Jakub Kochanowski
11.01.2019,20:30,GKS Katowice,"3:1 (25:20, 27:29, 25:19, 25:18)",Trefl Gdańsk,600,Marcin Komenda
12.01.2019,14:45,Onico Warszawa,"3:0 (25:18, 25:21, 25:14)",Asseco Resovia Rzeszów,5588,Nikołaj Penczew
13.01.2019,14:45,Czarni Radom,"3:2 (16:25, 25:20, 25:14, 18:25, 15:7)",Indykpol AZS Olsztyn,1500,Michał Filip
13.01.2019,20:30,Chemik Bydgoszcz,"2:3 (25:19, 25:22, 17:25, 23:25, 10:15)",Cuprum Lubin,1274,Maciej Gorzkiewicz
14.01.2019,17:30,Jastrzębski Węgiel,"3:1 (25:21, 25:15, 22:25, 25:14)",Aluron Virtu Warta Zawiercie,2400,Christian Fromm
18.01.2019,17:30,Czarni Radom,"3:1 (25:20, 25:20, 15:25, 25:17)",Cuprum Lubin,1500,Michał Filip
19.01.2019,14:45,Aluron Virtu Warta Zawiercie,"3:1 (22:25, 25:19, 25:23, 25:23)",Onico Warszawa,1500,Marcin Waliński
19.01.2019,20:30,Chemik Bydgoszcz,"0:3 (14:25, 20:25, 20:25)",ZAKSA Kędzierzyn-Koźle,1429,Paweł Zatorski
20.01.2019,17:30,GKS Katowice,"3:0 (25:21, 25:23, 25:18 )",Asseco Resovia Rzeszów,1200,Karol Butryn
21.01.2019,20:30,MKS Będzin,"0:3 (14:25, 36:38, 19:25)",Indykpol AZS Olsztyn,350,Miłosz Zniszczoł
11.03.2019,20:30,Trefl Gdańsk,"2:3 (25:27, 25:27, 25:18, 25:22, 11:15)",PGE Skra Bełchatów,3400,Mariusz Wlazły
30.01.2019,20:30,Aluron Virtu Warta Zawiercie,"3:1 (25:27, 27:25, 26:24, 25:21)",Chemik Bydgoszcz,1500,Kamil Semeniuk
01.02.2019,17:30,Cuprum Lubin,"3:1 (23:25, 25:18, 25:19, 25:19)",GKS Katowice,1063,Masahiro Yanagida
02.02.2019,14:45,Indykpol AZS Olsztyn,"3:1 (20:25, 36:34, 25:21, 25:15)",PGE Skra Bełchatów,2390,Paweł Woicki
02.02.2019,17:30,Onico Warszawa,"3:0 (25:21, 25:19, 25:16)",Czarni Radom,4128,Damian Wojtaszek
03.02.2019,17:30,Jastrzębski Węgiel,"3:0 (25:17, 25:20, 25:21)",MKS Będzin,2667,Lukas Kampa
05.03.2019,20:30,Trefl Gdańsk,"3:1 (26:24, 25:20, 23:25, 25:21)",ZAKSA Kędzierzyn-Koźle,2500,Michał Kozłowski
03.02.2019,14:45,Chemik Bydgoszcz,"0:3 (17:25, 24:26, 21:25)",Trefl Gdańsk,2075,Maciej Muzaj
05.02.2019,20:30,MKS Będzin,"1:3 (25:22, 15:25, 15:25, 23:25)",Asseco Resovia Rzeszów,1000,Thibault Rossard
06.02.2019,17:30,GKS Katowice,"1:3 (22:25, 26:24, 18:25, 15:25)",Onico Warszawa,3500,Bartosz Kurek
06.02.2019,18:30,ZAKSA Kędzierzyn-Koźle,"3:1 (25:18, 33:35, 25:20, 25:22)",Indykpol AZS Olsztyn,1583,Paweł Zatorski
06.02.2019,20:30,PGE Skra Bełchatów,"1:3 (25:27, 25:20, 23:25, 27:29)",Jastrzębski Węgiel,2366,Jakub Bucki
07.02.2019,20:30,Czarni Radom,"3:1 (25:21, 19:25, 26:24, 30:28)",Aluron Virtu Warta Zawiercie,1500,Wojciech Żaliński
16.01.2019,20:30,GKS Katowice,"3:0 (25:20, 25:19, 27:25)",Aluron Virtu Warta Zawiercie,3200,Tomas Rousseaux
09.02.2019,14:45,Jastrzębski Węgiel,"0:3 (20:25, 19:25, 20:25)",ZAKSA Kędzierzyn-Koźle,3112,Paweł Zatorski
09.02.2019,17:30,Cuprum Lubin,"3:0 (25:20, 25:22, 25:23)",MKS Będzin,1188,Maciej Gorzkiewicz
10.02.2019,14:45,Asseco Resovia Rzeszów,"3:1 (23:25, 25:17, 25:23, 25:22)",PGE Skra Bełchatów,4223,Thibault Rossard
10.02.2019,17:30,Indykpol AZS Olsztyn,"2:3 (25:20, 16:25, 18:25, 25:19, 11:15)",Trefl Gdańsk,2234,Piotr Nowakowski
11.02.2019,20:30,Czarni Radom,"3:1 (23:25, 25:23, 25:14, 25:21)",Chemik Bydgoszcz,1500,Dejan Vinčić
14.02.2019,20:30,Onico Warszawa,"3:0 (25:22, 25:20, 25:22)",MKS Będzin,3286,Andrzej Wrona
15.02.2019,17:30,Chemik Bydgoszcz,"3:1 (25:19, 20:25, 25:23, 25:20)",Indykpol AZS Olsztyn,1850,Raphael Margarido
16.02.2019,14:45,ZAKSA Kędzierzyn-Koźle,"0:3 (17:25, 21:25, 21:25)",Asseco Resovia Rzeszów,2444,Kawika Shoji
16.02.2019,17:30,GKS Katowice,"3:0 (25:15, 25:17, 31:29)",Czarni Radom,550,Bartosz Krzysiek
17.02.2019,14:45,Trefl Gdańsk,"1:3 (20:25, 25:19, 22:25, 26:28)",Jastrzębski Węgiel,3050,Dawid Konarski
17.02.2019,17:30,PGE Skra Bełchatów,"3:1 (25:20, 21:25, 25:21, 25:19)",Cuprum Lubin,2106,Jakub Kochanowski
20.02.2019,17:30,Asseco Resovia Rzeszów,"3:1 (25:21, 25:16, 19:25, 29:27)",Trefl Gdańsk,4293,Thibault Rossard
20.02.2019,18:00,Cuprum Lubin,"0:3 (18:25, 22:25, 22:25)",ZAKSA Kędzierzyn-Koźle,1801,Aleksander Śliwka
20.02.2019,18:00,Aluron Virtu Warta Zawiercie,"3:1 (25:22, 25:20, 22:25, 27:25)",MKS Będzin,1500,Michal Masný
20.02.2019,18:00,Jastrzębski Węgiel,"2:3 (31:33, 25:21, 27:25, 22:25, 13:15 )",Indykpol AZS Olsztyn,2611,Marcel Lux
20.02.2019,18:30,GKS Katowice,"3:1 (22:25, 25:18, 25:20, 25:13)",Chemik Bydgoszcz,450,Rafał Sobański
20.02.2019,20:30,Onico Warszawa,"2:3 (21:25, 17:25, 30:28, 25:16, 16:18)",PGE Skra Bełchatów,5372,Grzegorz Łomacz
23.02.2019,14:45,ZAKSA Kędzierzyn-Koźle,"1:3 (17:25, 25:23, 21:25, 23:25)",Onico Warszawa,2033,Bartosz Kwolek
23.02.2019,20:30,Trefl Gdańsk,"3:0 (25:20, 25:17, 25:21)",Cuprum Lubin,1000,Piotr Nowakowski
24.02.2019,14:45,PGE Skra Bełchatów,"3:2 (15:25, 23:25, 25:23, 25:16, 15:13)",Aluron Virtu Warta Zawiercie,2348,Jakub Kochanowski
24.02.2019,17:30,Indykpol AZS Olsztyn,"3:0 (25:22, 25:22, 25:18)",Asseco Resovia Rzeszów,2031,Jan Hadrava
25.02.2019,17:30,Chemik Bydgoszcz,"0:3 (19:25, 20:25, 23:25)",Jastrzębski Węgiel,1170,Julien Lyneel
25.02.2019,20:30,MKS Będzin,"1:3 (25:23, 12:25, 28:30, 19:25 )",Czarni Radom,500,Wojciech Żaliński
01.03.2019,20:30,GKS Katowice,"3:2 (25:20, 18:25, 25:15, 19:25, 15:6)",MKS Będzin,500,Rafał Sobański
02.03.2019,14:45,Czarni Radom,"2:3 (25:20, 25:21, 20:25, 21:25, 10:15)",PGE Skra Bełchatów,1500,Milad Ebadipur
02.03.2019,17:30,Onico Warszawa,"3:0 (25:19, 25:17, 25:18)",Trefl Gdańsk,1238,Bartosz Kurek
02.03.2019,20:30,Asseco Resovia Rzeszów,"3:0 (25:21, 25:21, 25:17)",Jastrzębski Węgiel,3428,Jakub Jarosz
03.03.2019,14:45,Aluron Virtu Warta Zawiercie,"1:3 (25:22, 19:25, 21:25, 16:25)",ZAKSA Kędzierzyn-Koźle,1500,Łukasz Kaczmarek
03.03.2019,17:30,Cuprum Lubin,"1:3 (25:19, 22:25, 20:25, 21:25)",Indykpol AZS Olsztyn,1122,Paweł Woicki
07.03.2019,17:30,Jastrzębski Węgiel,"3:0 (25:18, 25:20, 25:17)",Cuprum Lubin,2596,Wojciech Ferens
07.03.2019,20:30,PGE Skra Bełchatów,"3:1 (25:20, 23:25, 25:23, 25:15)",GKS Katowice,2219,Milad Ebadipur
08.03.2019,17:30,Trefl Gdańsk,"1:3 (17:25, 25:21, 26:28, 23:25)",Aluron Virtu Warta Zawiercie,1250,Mateusz Malinowski
08.03.2019,20:30,Indykpol AZS Olsztyn,"1:3 (19:25, 21:25, 25:20, 18:25)",Onico Warszawa,2399,Bartosz Kurek
10.03.2019,20:30,ZAKSA Kędzierzyn-Koźle,"3:1 (25:21, 23:25, 25:23, 25:23 )",Czarni Radom,848,Rafał Szymura
11.03.2019,17:30,Chemik Bydgoszcz,"1:3 (20:25, 25:22, 16:25, 15:25)",Asseco Resovia Rzeszów,2000,Damian Schulz
15.03.2019,17:30,Cuprum Lubin,"3:0 (25:22, 25:22, 28:26)",Asseco Resovia Rzeszów,1281,Kert Toobal
15.03.2019,20:30,MKS Będzin,"1:3 (22:25, 25:23, 18:25, 20:25)",Chemik Bydgoszcz,550,Bartłomiej Lipiński
16.03.2019,14:45,GKS Katowice,"1:3 (26:24, 18:25, 18:25, 22:25)",ZAKSA Kędzierzyn-Koźle,1100,Łukasz Kaczmarek
16.03.2019,17:30,Czarni Radom,"3:0 (25:23, 25:21, 25:22)",Trefl Gdańsk,1500,Michał Filip
17.03.2019,14:45,Aluron Virtu Warta Zawiercie,"3:0 (25:15, 25:21, 25:22)",Indykpol AZS Olsztyn,1500,Mateusz Malinowski
17.03.2019,20:30,Onico Warszawa,"3:0 (27:25, 25:15, 25:21)",Jastrzębski Węgiel,4268,Graham Vigrass
19.03.2019,17:30,GKS Katowice,"1:3 (21:25, 18:25, 28:26, 18:25)",Jastrzębski Węgiel,2100,Wojciech Ferens
19.03.2019,20:30,Asseco Resovia Rzeszów,"3:1 (25:22, 18:25, 25:21, 25:20)",Czarni Radom,2837,Bartłomiej Lemański
20.03.2019,20:30,Onico Warszawa,"3:0 (25:13, 25:22, 25:20)",Chemik Bydgoszcz,3410,Konrad Buczek
23.03.2019,14:45,Cuprum Lubin,"0:3 (18:25, 22:25, 19:25)",Aluron Virtu Warta Zawiercie,1116,Krzysztof Rejno
23.03.2019,17:30,Trefl Gdańsk,"2:3 (25:18, 25:21, 23:25, 32:24, 11:15 )",MKS Będzin,1190,Rafał Faryna
24.03.2019,14:45,ZAKSA Kędzierzyn-Koźle,"3:1 (25:23, 38:36, 19:25, 25:23)",PGE Skra Bełchatów,2200,Sam Deroo
