Date,Time,Host,Result,Guest,Audience,MVP
12.10.2018,18:00,Czarni Radom,"0:3 (23:25, 19:25, 20:25 )",Jastrzębski Węgiel,1500,Lukas Kampa
12.10.2018,20:30,Onico Warszawa,"3:0 (25:22, 25:21, 25:19 )",Cuprum Lubin,3285,Andrzej Wrona
13.10.2018,14:45,Aluron Virtu Warta Zawiercie,"3:2 (25:23, 23:25, 25:19, 21:25, 15:13)",Asseco Resovia Rzeszów,1500,Kamil Semeniuk
13.10.2018,17:30,MKS Będzin,"1:3 (29:27, 18:25, 22:25, 23:25)",ZAKSA Kędzierzyn-Koźle,1456,Aleksander Śliwka
14.10.2018,17:30,GKS Katowice,"3:1 (25:23, 25:17, 23:25, 25:23)",Indykpol AZS Olsztyn,650,Karol Butryn
15.10.2018,18:00,Chemik Bydgoszcz,"3:2 (21:25, 25:23, 25:19, 27:29, 18:16)",PGE Skra Bełchatów,3935,Bartłomiej Lipiński
29.11.2018,19:00,Stocznia Szczecin,"0:3 (23:25, 20:25, 21:25)",Trefl Gdańsk,2500,Maciej Muzaj
17.10.2018,17:00,PGE Skra Bełchatów,"3:1 (25:21, 25:27, 25:18, 25:20 )",MKS Będzin,1952,Kacper Piechocki
17.10.2018,18:00,Indykpol AZS Olsztyn,"0:3 (22:25, 22:25, 17:25)",Czarni Radom,1829,Wojciech Żaliński
17.10.2018,18:00,Stocznia Szczecin,"0:3 (26:28, 16:25, 21:25 )",ZAKSA Kędzierzyn-Koźle,4500,Łukasz Wiśniewski
17.10.2018,18:00,Cuprum Lubin,"1:3 (19:25, 23:25, 25:16, 22:25)",Chemik Bydgoszcz,1242,Michał Szalacha
17.10.2018,18:00,Aluron Virtu Warta Zawiercie,"2:3 (20:25, 25:21, 25:13, 22:25, 13:15)",Jastrzębski Węgiel,1500,Piotr Hain
17.10.2018,18:30,Trefl Gdańsk,"3:2 (25:21, 19:25, 15:25, 25:22, 16:14)",GKS Katowice,3700,Maciej Muzaj
17.10.2018,20:30,Asseco Resovia Rzeszów,"1:3 (18:25, 23:25, 25:23, 21:25)",Onico Warszawa,3500,Rafael Rodrigues de Araújo
19.10.2018,18:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:15, 25:14, 25:18)",Chemik Bydgoszcz,1595,Benjamin Toniutti
20.10.2018,14:45,PGE Skra Bełchatów,"3:2 (20:25, 25:23, 25:19, 16:25, 15:11)",Trefl Gdańsk,2293,Milad Ebadipur
20.10.2018,17:30,Indykpol AZS Olsztyn,"3:0 (26:24, 25:23, 25:15)",MKS Będzin,1738,Jan Hadrava
21.10.2018,14:45,Jastrzębski Węgiel,"0:3 (22:25, 24:26, 25:27)",Stocznia Szczecin,3109,Bartosz Kurek
21.10.2018,17:30,Cuprum Lubin,"0:3 (18:25, 19:25, 25:27)",Czarni Radom,1504,Wojciech Żaliński
21.10.2018,20:00,Onico Warszawa,"3:1 (25:17, 25:21, 20:25, 25:23)",Aluron Virtu Warta Zawiercie,2247,Rafael Rodrigues de Araújo
22.10.2018,18:00,Asseco Resovia Rzeszów,"0:3 (22:25, 19:25, 34:36 )",GKS Katowice,3362,Karol Butryn
26.10.2018,18:00,GKS Katowice,"0:3 (21:25, 22:25, 24:26)",Cuprum Lubin,700,Igor Grobelny
26.10.2018,20:30,Czarni Radom,"3:0 (25:21, 25:22, 25:22)",Onico Warszawa,1500,Wojciech Żaliński
27.10.2018,14:45,PGE Skra Bełchatów,"0:3 (24:26, 17:25, 22:25 )",Indykpol AZS Olsztyn,2142,Jan Hadrava
27.10.2018,17:30,Chemik Bydgoszcz,"0:3 (20:25, 18:25, 13:25)",Aluron Virtu Warta Zawiercie,2736,Mateusz Malinowski
28.10.2018,17:30,ZAKSA Kędzierzyn-Koźle,"3:0 (25:21, 26:24, 25:23 )",Trefl Gdańsk,3000,Łukasz Kaczmarek
28.10.2018,20:00,Stocznia Szczecin,"3:0 (25:19, 25:23, 25:19)",Asseco Resovia Rzeszów,5000,Bartosz Kurek
29.10.2018,18:00,MKS Będzin,"2:3 (21:25, 25:21, 25:19, 13:25, 10:15)",Jastrzębski Węgiel,1280,Lukas Kampa
02.11.2018,20:30,Indykpol AZS Olsztyn,"1:3 (22:25, 28:30, 25:23, 16:25)",ZAKSA Kędzierzyn-Koźle,2399,Mateusz Bieniek
03.11.2018,14:45,Jastrzębski Węgiel,"3:1 (25:22, 17:25, 27:25, 25:21)",PGE Skra Bełchatów,3087,Julien Lyneel
03.11.2018,17:30,Asseco Resovia Rzeszów,"0:3 (33:35, 14:25, 22:25)",MKS Będzin,3653,Lincoln Williams
03.11.2018,20:00,Cuprum Lubin,"0:3 (21:25, 10:25, 23:25)",Stocznia Szczecin,2246,Łukasz Żygadło
04.11.2018,14:45,Aluron Virtu Warta Zawiercie,"0:3 (13:25, 23:25, 19:25 )",Czarni Radom,1500,Maksim Żygałow
04.11.2018,17:30,Trefl Gdańsk,"3:1 (23:25, 25:17, 26:24, 25:21)",Chemik Bydgoszcz,1250,Maciej Olenderek
