Date,Time,Host,Result,Guest,Audience,MVP
25.09.2020,20:30,Trefl Gdańsk,"3:1 (16:25, 25:18, 25:15, 25:18)",Cuprum Lubin,1600,Bartłomiej Lipiński
26.09.2020,17:30,Indykpol AZS Olsztyn,"0:3 (23:25, 18:25, 15:25)",Aluron CMC Warta Zawiercie,714,Maximiliano Cavanna
25.09.2020,17:30,GKS Katowice,"2:3 (15:25, 18:25, 25:19, 25:22, 7:15)",Asseco Resovia Rzeszów,326,Klemen Čebulj
28.10.2020,17:30,Ślepsk Malow Suwałki,"3:2 (23:25, 25:23, 25:16, 25:27, 15:8)",Cerrad Enea Czarni Radom,0,Bartłomiej Bołądź
01.10.2020,17:30,Stal Nysa,"2:3 (25:21, 25:27, 25:22, 12:25, 19:21)",Cerrad Enea Czarni Radom,1250,Brenden Sander
17.11.2020,17:30,Asseco Resovia Rzeszów,"1:3 (25:19, 23:25, 21:25, 21:25)",Ślepsk Malow Suwałki,0,Bartłomiej Bołądź
29.09.2020,20:30,Aluron CMC Warta Zawiercie,"3:0 (25:21, 25:16, 25:23)",GKS Katowice,617,Maximiliano Cavanna
29.09.2020,17:30,Cuprum Lubin,"0:3 (22:25, 20:25, 21:25)",Indykpol AZS Olsztyn,290,Damian Schulz
30.09.2020,20:30,MKS Będzin,"2:3 (25:23, 21:25, 20:25, 25:22, 11:15)",Trefl Gdańsk,240,Bartłomiej Lipiński
30.09.2020,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:1 (25:20, 27:29, 25:23, 25:20)",Jastrzębski Węgiel,980,Kamil Semeniuk
25.11.2020,20:30,Verva Warszawa Orlen Paliwa,"3:1 (23:25, 25:11, 29:27, 25:23)",PGE Skra Bełchatów,0,Michał Superlak
05.10.2020,20:30,PGE Skra Bełchatów,"3:0 (25:22, 25:15, 25:20)",Stal Nysa,219,Bartosz Filipiak
12.01.2021,20:30,Jastrzębski Węgiel,"2:3 (25:18, 25:23, 25:27, 19:25, 9:15)",Verva Warszawa Orlen Paliwa,0,Igor Grobelny
03.10.2020,20:30,Trefl Gdańsk,"0:3 (21:25, 20:25, 23:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Łukasz Kaczmarek
18.11.2020,17:30,GKS Katowice,"2:3 (23:25, 21:25, 25:23, 25:21, 13:15)",Cuprum Lubin,0,Przemysław Smoliński
27.01.2021,15:00,Aluron CMC Warta Zawiercie,"3:1 (32:34, 25:19, 27:25, 25:13)",Ślepsk Malow Suwałki,0,Garrett Muagututia
04.10.2020,17:30,Cerrad Enea Czarni Radom,"2:3 (23:25, 17:25, 25:23, 25:20, 17:19)",Asseco Resovia Rzeszów,700,Karol Butryn
18.11.2020,18:00,Indykpol AZS Olsztyn,"3:0 (25:18, 25:18, 25:7)",MKS Będzin,0,Wojciech Żaliński
10.10.2020,20:30,Stal Nysa,"2:3 (22:25, 25:19, 25:22, 18:25, 12:15)",Asseco Resovia Rzeszów,450,Karol Butryn
10.10.2020,14:45,Aluron CMC Warta Zawiercie,"3:0 (25:21, 25:20, 25:22)",Cerrad Enea Czarni Radom,375,Flávio Gualberto
11.10.2020,17:30,Cuprum Lubin,"0:3 (19:25, 22:25, 20:25)",Ślepsk Malow Suwałki,250,Kévin Klinkenberg
20.10.2020,20:30,MKS Będzin,"0:3 (26:28, 23:25, 18:25)",GKS Katowice,0,Miłosz Zniszczoł
10.10.2020,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:1 (25:21, 25:18, 17:25, 25:16)",Indykpol AZS Olsztyn,560,Aleksander Śliwka
28.10.2020,20:30,Verva Warszawa Orlen Paliwa,"1:3 (25:23, 23:25, 17:25, 25:27)",Trefl Gdańsk,0,Bartłomiej Lipiński
16.01.2021,14:45,PGE Skra Bełchatów,"0:3 (25:27, 23:25, 18:25)",Jastrzębski Węgiel,0,Jakub Popiwczak
02.02.2021,15:00,Jastrzębski Węgiel,"3:0 (27:25, 25:19, 25:20)",Stal Nysa,0,Mohammed Al Hachdadi
14.10.2020,20:30,Trefl Gdańsk,"1:3 (25:23, 23:25, 20:25, 15:25)",PGE Skra Bełchatów,0,Milan Katić
15.10.2020,17:30,Indykpol AZS Olsztyn,"3:2 (22:25, 25:22, 21:25, 25:14, 15:13)",Verva Warszawa Orlen Paliwa,238,Damian Schulz
10.01.2021,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:16, 26:24, 25:16)",GKS Katowice,0,Łukasz Kaczmarek
11.11.2020,20:30,MKS Będzin,"0:3 (22:25, 23:25, 20:25)",Ślepsk Malow Suwałki,0,Bartłomiej Bołądź
04.11.2020,20:30,Cerrad Enea Czarni Radom,"3:1 (16:25, 27:25, 25:22, 25:19)",Cuprum Lubin,0,Michał Kędzierski
02.12.2020,17:30,Asseco Resovia Rzeszów,"3:0 (25:18, 25:23, 26:24)",Aluron CMC Warta Zawiercie,0,Klemen Čebulj
24.10.2020,17:30,Jastrzębski Węgiel,"3:0 (25:19, 25:19, 33:31)",Trefl Gdańsk,0,Mohammed Al Hachdadi
16.12.2020,17:30,PGE Skra Bełchatów,"3:0 (25:17, 25:21, 25:22)",Indykpol AZS Olsztyn,0,Norbert Huber
18.10.2020,14:45,Verva Warszawa Orlen Paliwa,"3:1 (21:25, 25:11, 25:22, 25:16)",GKS Katowice,0,Piotr Nowakowski
31.10.2020,14:45,Ślepsk Malow Suwałki,"0:3 (24:26, 23:25, 19:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Łukasz Kaczmarek
03.12.2020,17:30,MKS Będzin,"1:3 (23:25, 25:18, 23:25, 17:25)",Cerrad Enea Czarni Radom,0,Dawid Konarski
09.12.2020,17:30,Cuprum Lubin,"3:1 (25:21, 21:25, 25:23, 25:23)",Asseco Resovia Rzeszów,0,Miguel Tavares
17.11.2020,20:30,Aluron CMC Warta Zawiercie,"1:3 (25:22, 22:25, 20:25, 22:25)",Stal Nysa,0,Wassim Ben Tara
15.12.2020,17:30,Aluron CMC Warta Zawiercie,"3:0 (25:23, 25:14, 25:19)",Cuprum Lubin,0,Mateusz Malinowski
07.01.2021,17:30,MKS Będzin,"1:3 (21:25, 25:23, 20:25, 16:25)",Asseco Resovia Rzeszów,0,Karol Butryn
13.01.2021,20:30,Cerrad Enea Czarni Radom,"0:3 (19:25, 14:25, 17:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Aleksander Śliwka
23.10.2020,20:30,Ślepsk Malow Suwałki,"1:3 (25:20, 22:25, 16:25, 23:25)",Verva Warszawa Orlen Paliwa,0,Igor Grobelny
03.01.2021,14:45,GKS Katowice,"0:3 (19:25, 22:25, 31:33)",PGE Skra Bełchatów,0,Milad Ebadipur
20.01.2021,17:30,Indykpol AZS Olsztyn,"3:1 (15:25, 27:25, 26:24, 25:16)",Jastrzębski Węgiel,0,Damian Schulz
15.12.2020,20:30,Trefl Gdańsk,"3:0 (25:19, 26:24, 25:16)",Stal Nysa,0,Bartłomiej Lipiński
04.02.2021,15:00,Trefl Gdańsk,"3:1 (21:25, 25:22, 25:22, 25:21)",Indykpol AZS Olsztyn,0,Łukasz Kozub
06.01.2021,17:30,Jastrzębski Węgiel,"3:0 (26:24, 25:18, 25:18)",GKS Katowice,0,Tomasz Fornal
01.02.2021,17:30,PGE Skra Bełchatów,"3:0 (25:17, 26:24, 25:15)",Ślepsk Malow Suwałki,0,Karol Kłos
31.10.2020,20:30,Verva Warszawa Orlen Paliwa,"0:3 (17:25, 23:25, 19:25)",Cerrad Enea Czarni Radom,0,Dawid Dryja
31.01.2021,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"2:3 (19:25, 21:25, 25:17, 25:19, 14:16)",Asseco Resovia Rzeszów,0,Karol Butryn
07.12.2020,20:30,MKS Będzin,"1:3 (25:19, 23:25, 23:25, 17:25)",Aluron CMC Warta Zawiercie,0,Maximiliano Cavanna
19.01.2021,17:30,Stal Nysa,"1:3 (25:20, 23:25, 29:31, 16:25)",Cuprum Lubin,0,Ronald Jimenez
01.11.2020,17:30,MKS Będzin,"3:1 (25:20, 25:23, 20:25, 25:21)",Cuprum Lubin,0,Rafał Faryna
19.01.2021,20:30,Aluron CMC Warta Zawiercie,"1:3 (21:25, 25:23, 13:25, 19:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Jakub Kochanowski
29.12.2020,20:30,PGE Skra Bełchatów,"3:0 (27:25, 25:22, 25:12)",Cerrad Enea Czarni Radom,0,Dušan Petković
04.11.2020,17:30,Ślepsk Malow Suwałki,"1:3 (17:25, 25:18, 22:25, 22:25)",Jastrzębski Węgiel,0,Jakub Popiwczak
20.01.2021,20:30,GKS Katowice,"3:2 (15:25, 25:23, 25:19, 19:25, 15:11)",Trefl Gdańsk,0,Miłosz Zniszczoł
14.01.2021,17:30,Indykpol AZS Olsztyn,"3:1 (25:19, 25:22, 20:25, 25:20)",Stal Nysa,0,Damian Schulz
28.01.2021,15:00,Asseco Resovia Rzeszów,"2:3 (25:22, 27:25, 22:25, 23:25, 10:15)",Verva Warszawa Orlen Paliwa,0,Bartosz Kwolek
09.11.2020,17:30,Stal Nysa,"2:3 (21:25, 25:17, 25:22, 24:26, 12:15)",MKS Będzin,0,José Ademar Santana
27.10.2020,17:30,Cuprum Lubin,"1:3 (15:25, 25:21, 20:25, 16:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Aleksander Śliwka
08.11.2020,20:30,Verva Warszawa Orlen Paliwa,"0:3 (18:25, 20:25, 23:25)",Aluron CMC Warta Zawiercie,0,Mateusz Malinowski
13.01.2021,17:30,PGE Skra Bełchatów,"2:3 (17:25, 16:25, 25:16, 25:23, 11:15)",Asseco Resovia Rzeszów,0,Klemen Čebulj
07.11.2020,17:30,Jastrzębski Węgiel,"3:1 (25:17, 25:17, 24:26, 25:17)",Cerrad Enea Czarni Radom,0,Mohammed Al Hachdadi
07.11.2020,20:30,Trefl Gdańsk,"3:0 (36:34, 25:14, 25:20)",Ślepsk Malow Suwałki,0,Pablo Crer
10.02.2021,18:00,Indykpol AZS Olsztyn,"3:1 (25:18, 22:25, 25:23, 25:16)",GKS Katowice,0,Wojciech Żaliński
30.12.2020,17:30,Verva Warszawa Orlen Paliwa,"1:3 (17:25, 22:25, 25:23, 16:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Jakub Kochanowski
15.11.2020,14:45,MKS Będzin,"0:3 (17:25, 17:25, 22:25)",PGE Skra Bełchatów,0,Kacper Piechocki
15.11.2020,20:30,Jastrzębski Węgiel,"3:0 (25:17, 25:15, 28:26)",Cuprum Lubin,0,Jurij Hładyr
15.11.2020,17:30,Aluron CMC Warta Zawiercie,"0:3 (22:25, 21:25, 23:25)",Trefl Gdańsk,0,Kewin Sasak
13.11.2020,20:30,Asseco Resovia Rzeszów,"3:1 (29:27, 23:25, 25:13, 25:23)",Indykpol AZS Olsztyn,0,Klemen Čebulj
14.11.2020,14:45,Cerrad Enea Czarni Radom,"0:3 (16:25, 16:25, 21:25)",GKS Katowice,0,Kamil Kwasowski
14.11.2020,20:30,Stal Nysa,"1:3 (23:25, 25:23, 20:25, 22:25)",Ślepsk Malow Suwałki,0,Tomas Rousseaux
21.11.2020,20:30,GKS Katowice,"3:1 (28:26, 23:25, 25:21, 25:23)",Ślepsk Malow Suwałki,0,Jan Firlej
22.11.2020,14:45,Indykpol AZS Olsztyn,"3:1 (25:19, 26:28, 25:21, 25:20)",Cerrad Enea Czarni Radom,0,Wojciech Żaliński
22.11.2020,17:30,Trefl Gdańsk,"3:0 (25:18, 26:24, 25:20)",Asseco Resovia Rzeszów,0,Marcin Janusz
24.02.2021,15:00,Jastrzębski Węgiel,"1:3 (19:25, 25:20, 20:25, 13:25)",Aluron CMC Warta Zawiercie,0,Mateusz Malinowski
21.11.2020,17:30,PGE Skra Bełchatów,"0:3 (22:25, 18:25, 21:25)",Cuprum Lubin,0,Ronald Jimenez
22.11.2020,20:30,Verva Warszawa Orlen Paliwa,"3:0 (25:22, 27:25, 25:17)",MKS Będzin,0,Artur Szalpuk
21.11.2020,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:21, 25:13, 25:19)",Stal Nysa,0,Kamil Semeniuk
29.11.2020,20:30,Stal Nysa,"2:3 (25:18, 21:25, 25:20, 23:25, 11:15)",GKS Katowice,0,Jakub Jarosz
01.12.2020,17:30,Ślepsk Malow Suwałki,"1:3 (19:25, 26:28, 25:19, 14:25)",Indykpol AZS Olsztyn,0,Wojciech Żaliński
28.11.2020,17:30,Trefl Gdańsk,"3:1 (28:30, 25:12, 25:18, 25:17)",Cerrad Enea Czarni Radom,0,Bartłomiej Lipiński
30.12.2020,20:30,Asseco Resovia Rzeszów,"0:3 (23:25, 18:25, 22:25)",Jastrzębski Węgiel,0,Mohammed Al Hachdadi
29.11.2020,14:45,Aluron CMC Warta Zawiercie,"0:3 (15:25, 22:25, 19:25)",PGE Skra Bełchatów,0,Bartosz Filipiak
29.11.2020,17:30,Verva Warszawa Orlen Paliwa,"3:1 (25:19, 25:15, 19:25, 25:23)",Cuprum Lubin,0,Andrzej Wrona
28.11.2020,20:30,MKS Będzin,"1:3 (25:21, 24:26, 23:25, 17:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Kamil Semeniuk
04.12.2020,20:30,Stal Nysa,"2:3 (25:21, 23:25, 15:25, 25:21, 10:15)",Verva Warszawa Orlen Paliwa,0,Igor Grobelny
04.12.2020,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:2 (22:25, 25:23, 25:13, 26:28, 15:7)",PGE Skra Bełchatów,0,Aleksander Śliwka
16.12.2020,18:00,Jastrzębski Węgiel,"3:1 (25:17, 23:25, 25:23, 25:14)",MKS Będzin,0,Jakub Bucki
05.12.2020,17:30,Cuprum Lubin,"2:3 (23:25, 25:20, 27:25, 18:25, 16:18)",Trefl Gdańsk,0,Mariusz Wlazły
05.12.2020,14:45,Aluron CMC Warta Zawiercie,"3:0 (25:23, 25:23, 25:20)",Indykpol AZS Olsztyn,0,Piotr Orczyk
06.12.2020,14:45,Asseco Resovia Rzeszów,"3:0 (25:13, 25:23, 25:19)",GKS Katowice,0,Fabian Drzyzga
20.10.2020,17:30,Cerrad Enea Czarni Radom,"0:3 (24:26, 23:25, 28:30)",Ślepsk Malow Suwałki,0,Joshua Tuaniga
28.02.2021,14:45,PGE Skra Bełchatów,"3:1 (17:25, 25:20, 29:27, 25:19)",Verva Warszawa Orlen Paliwa,0,Dušan Petković
13.12.2020,17:30,Jastrzębski Węgiel,"1:3 (23:25, 25:27, 25:23, 22:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Jakub Kochanowski
12.12.2020,17:30,Trefl Gdańsk,"3:0 (25:21, 25:15, 25:16)",MKS Będzin,0,Maciej Olenderek
08.11.2020,14:45,Indykpol AZS Olsztyn,"0:3 (19:25, 22:25, 22:25)",Cuprum Lubin,0,Ronald Jimenez
12.12.2020,14:45,GKS Katowice,"3:1 (28:26, 25:15, 20:25, 26:24)",Aluron CMC Warta Zawiercie,0,Kamil Kwasowski
14.12.2020,17:30,Ślepsk Malow Suwałki,"3:1 (25:12, 25:21, 21:25, 25:23)",Asseco Resovia Rzeszów,0,Bartłomiej Bołądź
11.12.2020,20:30,Cerrad Enea Czarni Radom,"3:1 (25:19, 20:25, 25:18, 25:23)",Stal Nysa,0,Michał Kędzierski
20.12.2020,20:30,Asseco Resovia Rzeszów,"3:0 (32:30, 25:22, 25:20)",Cerrad Enea Czarni Radom,0,Karol Butryn
18.12.2020,20:30,Ślepsk Malow Suwałki,"0:3 (24:26, 22:25, 17:25)",Aluron CMC Warta Zawiercie,0,Garrett Muagututia
19.12.2020,20:30,Cuprum Lubin,"2:3 (24:26, 27:25, 25:23, 18:25, 13:15)",GKS Katowice,0,Kamil Kwasowski
19.12.2020,17:30,MKS Będzin,"0:3 (19:25, 23:25, 21:25)",Indykpol AZS Olsztyn,0,Ruben Schott
19.12.2020,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:17, 25:21, 25:22)",Trefl Gdańsk,0,Kamil Semeniuk
20.12.2020,14:45,Verva Warszawa Orlen Paliwa,"2:3 (21:25, 17:25, 25:17, 25:20, 9:15)",Jastrzębski Węgiel,0,Lukas Kampa
20.12.2020,17:30,Stal Nysa,"3:0 (25:20, 25:22, 26:24)",PGE Skra Bełchatów,0,Maciej Zajder
23.12.2020,17:30,Jastrzębski Węgiel,"3:2 (22:25, 25:21, 25:22, 21:25, 15:8)",PGE Skra Bełchatów,0,Rafał Szymura
03.11.2020,20:30,Trefl Gdańsk,"3:2 (25:17, 25:27, 14:25, 25:21, 15:11)",Verva Warszawa Orlen Paliwa,0,Marcin Janusz
22.12.2020,17:30,Indykpol AZS Olsztyn,"0:3 (25:27, 17:25, 16:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Benjamin Toniutti
22.12.2020,17:00,GKS Katowice,"3:1 (25:21, 25:19, 24:26, 25:22)",MKS Będzin,0,Miłosz Zniszczoł
22.12.2020,20:30,Ślepsk Malow Suwałki,"3:1 (25:22, 23:25, 25:21, 25:18)",Cuprum Lubin,0,Joshua Tuaniga
23.12.2020,20:30,Cerrad Enea Czarni Radom,"2:3 (26:24, 25:13, 20:25, 23:25, 12:15)",Aluron CMC Warta Zawiercie,0,Piotr Orczyk
17.10.2020,20:30,Asseco Resovia Rzeszów,"3:1 (25:19, 21:25, 25:17, 25:18)",Stal Nysa,0,Paweł Woicki
28.02.2021,17:30,Ślepsk Malow Suwałki,"3:0 (25:20, 25:19, 25:17)",MKS Będzin,0,Bartłomiej Bołądź
09.02.2021,20:30,Aluron CMC Warta Zawiercie,"0:3 (22:25, 19:25, 20:25)",Asseco Resovia Rzeszów,0,Fabian Drzyzga
09.01.2021,17:30,Verva Warszawa Orlen Paliwa,"3:0 (25:19, 26:24, 25:20)",Indykpol AZS Olsztyn,0,Andrzej Wrona
14.02.2021,14:45,GKS Katowice,"1:3 (20:25, 19:25, 25:19, 23:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Bartłomiej Kluth
10.01.2021,20:30,Cuprum Lubin,"3:0 (25:21, 25:17, 26:24)",Cerrad Enea Czarni Radom,0,Szymon Jakubiszak
09.01.2021,14:45,PGE Skra Bełchatów,"1:3 (18:25, 25:18, 29:31, 21:25)",Trefl Gdańsk,0,Bartłomiej Lipiński
09.01.2021,20:30,Stal Nysa,"3:1 (18:25, 25:18, 25:18, 25:23)",Jastrzębski Węgiel,0,Łukasz Łapszyński
01.11.2020,14:45,Trefl Gdańsk,"1:3 (25:20, 21:25, 17:25, 18:25)",Jastrzębski Węgiel,0,Jurij Hładyr
13.02.2021,14:45,Indykpol AZS Olsztyn,"0:3 (23:25, 38:40, 16:25)",PGE Skra Bełchatów,0,Taylor Sander
17.01.2021,17:30,GKS Katowice,"0:3 (25:27, 10:25, 19:25)",Verva Warszawa Orlen Paliwa,0,Piotr Nowakowski
16.01.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:1 (26:24, 26:24, 23:25, 25:23)",Ślepsk Malow Suwałki,0,Jakub Kochanowski
17.01.2021,20:30,Cerrad Enea Czarni Radom,"3:0 (29:27, 25:20, 26:24)",MKS Będzin,0,Michał Kędzierski
13.02.2021,17:30,Asseco Resovia Rzeszów,"3:1 (25:16, 25:27, 25:17, 25:23)",Cuprum Lubin,0,Karol Butryn
27.02.2021,20:30,Stal Nysa,"2:3 (23:25, 19:25, 25:23, 25:21, 11:15)",Aluron CMC Warta Zawiercie,0,Piotr Orczyk
23.01.2021,17:30,Stal Nysa,"0:3 (18:25, 19:25, 23:25)",Trefl Gdańsk,0,Moritz Reichert
23.01.2021,14:45,Jastrzębski Węgiel,"3:2 (21:25, 20:25, 27:25, 26:24, 15:9)",Indykpol AZS Olsztyn,0,Jurij Hładyr
22.01.2021,17:30,PGE Skra Bełchatów,"3:1 (25:19, 25:16, 18:25, 25:20)",GKS Katowice,0,Taylor Sander
24.01.2021,14:45,Verva Warszawa Orlen Paliwa,"3:2 (28:26, 19:25, 26:28, 25:22, 15:13)",Ślepsk Malow Suwałki,0,Piotr Nowakowski
11.02.2021,14:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:19, 25:18, 25:20)",Cerrad Enea Czarni Radom,0,Paweł Zatorski
23.01.2021,20:30,Asseco Resovia Rzeszów,"3:0 (25:20, 27:25, 25:23)",MKS Będzin,0,Rafał Buszek
24.01.2021,17:30,Cuprum Lubin,"3:1 (30:28, 25:22, 18:25, 28:26)",Aluron CMC Warta Zawiercie,0,Ronald Jimenez
31.01.2021,17:30,Indykpol AZS Olsztyn,"3:0 (25:21, 25:21, 25:17)",Trefl Gdańsk,0,Jędrzej Gruszczyński
30.01.2021,17:30,GKS Katowice,"2:3 (23:25, 25:23, 20:25, 28:26, 9:15)",Jastrzębski Węgiel,0,Rafał Szymura
10.02.2021,14:30,Ślepsk Malow Suwałki,"1:3 (25:23, 22:25, 22:25, 24:26)",PGE Skra Bełchatów,0,Grzegorz Łomacz
30.01.2021,14:45,Cerrad Enea Czarni Radom,"1:3 (22:25, 25:22, 20:25, 17:25)",Verva Warszawa Orlen Paliwa,0,Jan Fornal
03.02.2021,15:00,Asseco Resovia Rzeszów,"0:3 (19:25, 18:25, 21:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,Łukasz Kaczmarek
29.01.2021,20:30,Aluron CMC Warta Zawiercie,"3:2 (25:23, 23:25, 21:25, 25:14, 17:15)",MKS Będzin,0,Flávio Gualberto
30.01.2021,20:30,Cuprum Lubin,"3:2 (25:20, 23:25, 25:23, 14:25, 15:10)",Stal Nysa,0,Miguel Tavares
06.02.2021,20:30,Stal Nysa,"3:1 (30:28, 25:22, 22:25, 25:23)",Indykpol AZS Olsztyn,0,Bartosz Bućko
07.02.2021,20:30,Trefl Gdańsk,"3:1 (21:25, 25:22, 25:23, 25:21)",GKS Katowice,0,Mariusz Wlazły
05.02.2021,20:30,Jastrzębski Węgiel,"3:0 (32:30, 27:25, 25:13)",Ślepsk Malow Suwałki,0,Michał Gierżot
07.02.2021,14:45,Cerrad Enea Czarni Radom,"1:3 (18:25, 23:25, 26:24, 16:25)",PGE Skra Bełchatów,0,Taylor Sander
06.02.2021,14:45,Verva Warszawa Orlen Paliwa,"1:3 (22:25, 25:22, 17:25, 16:25)",Asseco Resovia Rzeszów,0,Karol Butryn
06.02.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"0:3 (18:25, 23:25, 19:25)",Aluron CMC Warta Zawiercie,0,Mateusz Malinowski
08.02.2021,17:30,Cuprum Lubin,"3:0 (25:11, 25:20, 25:20)",MKS Będzin,0,Dawid Gunia
27.02.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"2:3 (25:20, 25:21, 20:25, 23:25, 11:15)",Cuprum Lubin,0,Ronald Jimenez
21.02.2021,20:30,Aluron CMC Warta Zawiercie,"0:3 (21:25, 13:25, 20:25)",Verva Warszawa Orlen Paliwa,0,Igor Grobelny
20.02.2021,20:30,Asseco Resovia Rzeszów,"3:0 (25:15, 26:24, 29:27)",PGE Skra Bełchatów,0,Karol Butryn
21.02.2021,17:30,Cerrad Enea Czarni Radom,"0:3 (27:29, 18:25, 15:25)",Jastrzębski Węgiel,0,Tomasz Fornal
22.02.2021,17:30,Ślepsk Malow Suwałki,"3:1 (25:21, 26:24, 23:25, 25:18)",Trefl Gdańsk,0,Joshua Tuaniga
27.02.2021,14:45,GKS Katowice,"3:1 (25:20, 25:22, 22:25, 25:20)",Indykpol AZS Olsztyn,0,Wiktor Musiał
19.02.2021,20:30,MKS Będzin,"0:3 (23:25, 12:25, 18:25)",Stal Nysa,0,Kamil Długosz
07.03.2021,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:20, 25:20, 25:22)",Verva Warszawa Orlen Paliwa,0,Krzysztof Rejno
09.03.2021,17:30,PGE Skra Bełchatów,"3:0 (25:23, 25:16, 25:21)",MKS Będzin,0,Mateusz Bieniek
05.03.2021,20:30,Cuprum Lubin,"0:3 (25:27, 25:27, 13:25)",Jastrzębski Węgiel,0,Mohammed Al Hachdadi
07.03.2021,17:30,Trefl Gdańsk,"3:1 (25:21, 25:15, 23:25, 26:24)",Aluron CMC Warta Zawiercie,0,Marcin Janusz
08.03.2021,20:30,Indykpol AZS Olsztyn,"3:1 (29:27, 25:23, 19:25, 25:18)",Asseco Resovia Rzeszów,0,Javier Concepción
06.03.2021,20:30,GKS Katowice,"2:3 (25:21, 26:24, 17:25, 18:25, 9:15)",Cerrad Enea Czarni Radom,0,Dawid Konarski
06.03.2021,14:45,Ślepsk Malow Suwałki,"3:1 (25:17, 25:20, 19:25, 25:20)",Stal Nysa,0,Bartłomiej Bołądź
