Date,Time,Host,Result,Guest,Audience,MVP
11.09.2020,17:30,Stal Nysa,"0:3 (19:25, 13:25, 16:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1252,Łukasz Kaczmarek
13.09.2020,17:30,MKS Będzin,"1:3 (20:25, 14:25, 25:20, 24:26)",Verva Warszawa Orlen Paliwa,350,Piotr Nowakowski
12.09.2020,17:30,Cuprum Lubin,"1:3 (25:20, 22:25, 28:30, 24:26)",PGE Skra Bełchatów,460,Norbert Huber
13.09.2020,20:30,Aluron CMC Warta Zawiercie,"2:3 (21:25, 25:19, 25:19, 25:27, 12:15)",Jastrzębski Węgiel,750,Tomasz Fornal
17.01.2021,14:45,Asseco Resovia Rzeszów,"3:2 (25:20, 29:31, 26:24, 17:25, 17:15)",Trefl Gdańsk,0,Timo Tammemaa
12.09.2020,14:45,Cerrad Enea Czarni Radom,"3:2 (25:17, 23:25, 19:25, 25:21, 15:13)",Indykpol AZS Olsztyn,700,Dawid Konarski
12.09.2020,20:30,Ślepsk Malow Suwałki,"0:3 (18:25, 22:25, 25:27)",GKS Katowice,1175,Miłosz Zniszczoł
21.09.2020,20:30,GKS Katowice,"3:2 (23:25, 20:25, 25:21, 25:18, 15:12)",Stal Nysa,276,Jakub Jarosz
19.09.2020,17:30,Indykpol AZS Olsztyn,"0:3 (22:25, 21:25, 27:29)",Ślepsk Malow Suwałki,850,Bartłomiej Bołądź
20.09.2020,20:30,Cerrad Enea Czarni Radom,"0:3 (19:25, 21:25, 11:25)",Trefl Gdańsk,700,Mariusz Wlazły
19.09.2020,14:45,Jastrzębski Węgiel,"3:0 (25:21, 25:16, 25:18)",Asseco Resovia Rzeszów,873,Mohammed Al Hachdadi
20.09.2020,14:45,PGE Skra Bełchatów,"1:3 (27:25, 24:26, 24:26, 23:25)",Aluron CMC Warta Zawiercie,638,Mateusz Malinowski
18.09.2020,20:30,Cuprum Lubin,"2:3 (25:20, 25:23, 18:25, 21:25, 12:15)",Verva Warszawa Orlen Paliwa,390,Artur Szalpuk
19.09.2020,20:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:16, 25:19, 25:23)",MKS Będzin,480,Kamil Semeniuk
05.01.2021,17:30,Verva Warszawa Orlen Paliwa,"3:2 (25:10, 22:25, 23:25, 25:22, 20:18)",Stal Nysa,0,Bartosz Kwolek
26.09.2020,14:45,PGE Skra Bełchatów,"1:3 (25:23, 21:25, 17:25, 23:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,563,Aleksander Śliwka
27.09.2020,14:45,MKS Będzin,"1:3 (25:22, 15:25, 18:25, 18:25)",Jastrzębski Węgiel,360,Mohammed Al Hachdadi
